EVENT_LOG	DISCOVERY_ALG	ALIGN	PROP2	PROP	BL	FREQ_50	FREQ_25	TIME_ALIGN	TIME_PROP2	TIME_PROP	TIME_BL	TIME_FREQ_50	TIME_FREQ_25
edited_hh110_labour	IMd	0.9981	0.9981	0.9981	0.9981	0.9983	0.9964	13.1596	0.31	0.36	0.17	7.6217	3.2505
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	0.9369	0.9369	0.9362	0.9359999999999999	0.9442	0.9671	163.1421	0.87	0.94	0.22	76.5468	6.0175
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.9291	0.9291	0.9291	0.9291	0.9334	0.9449	49.2459	0.76	0.78	0.16	28.2082	4.9667
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.5636	0.4857	0.4857	0.8420000000000001	0.5565	0.5605	3861.5909	6.77	6.89	1.29	2206.1699	540.7394
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.7536	0.7536	0.7591	0.7599	0.7572	0.7582	346.8051	0.76	0.82	0.19	178.8824	119.4721
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	0.9909	0.9909	0.9909	0.991	0.9882	0.9904	570.1454	4.03	4.44	0.23	451.5359	287.2279
edited_hh104_weekends	IMf	0.675	0.675	0.6759999999999999	0.6878	0.6402	0.6772	345.1979	0.63	0.74	0.28	173.8735	93.3405
edited_hh104_weekends	IMd	0.9842	0.9842	0.9842	0.9844	0.9771	0.9858	22.4148	0.33	0.43	0.17	17.5193	6.882
edited_hh104_weekends	ETM	0.5953	0.5678	0.5678	0.7401	0.586	0.6096	2093.6059	6.69	7.2	1.74	1248.8615	685.39
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMf	0.7214	0.7214	0.7283	0.7283	0.7574	0.7296	443.5373	1.97	2.28	1.28	270.4166	210.6268
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	0.9924	0.9924	0.9924	0.9927	0.9908	0.9951	41.8848	2.07	2.25	0.22	32.5486	21.0777
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	ETM	0.5329999999999999	0.4878	0.4878	0.7507	0.5648	0.5164	1947.6557	3.4	3.63	0.42	1295.5196	868.3531
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMf	0.9597	0.9597	0.9597	0.9597	0.9481	0.9328	16.9347	1.0	1.14	0.18	8.8467	3.3331
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	0.9369	0.9369	0.9369	0.9395	0.931	0.9227	33.7828	1.47	1.56	0.2	21.4523	8.5461
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	ETM	0.5161	0.4508	0.4508	0.6439	0.5207	0.4948	153.9442	3.18	3.88	0.35	85.6926	33.7617
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMd	0.7565	0.7565	0.7565	0.7638	0.7461	0.7447	42.8949	1.82	2.07	0.21	16.5933	10.2479
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	ETM	0.5917	0.5462	0.5462	0.7568	0.6058	0.6561	461.4538	2.31	2.54	0.69	113.6681	65.9474
