EVENT_LOG	DISCOVERY_ALG	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	IMf	0.8697	0.582	0.5991	0.4356
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	IMd	0.9958	0.7951	0.5362	0.3356
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	ETM	0.8535	0.2213	0.9728	0.9688
Road_Traffic_Fine_Management_Process.xes.gz	IMf	0.8708	0.8143	0.6091	0.7308
Road_Traffic_Fine_Management_Process.xes.gz	IMd	0.5954	0.8714	0.642	0.6932
Road_Traffic_Fine_Management_Process.xes.gz	ETM	0.8348	0.1857	0.8608	0.8125
BPI_Challenge_2020_PermitLog.xes.gz	IMf	0.9016	0.528	0.6953	0.5681
BPI_Challenge_2020_PermitLog.xes.gz	IMd	0.6892	0.6474	0.4706	0.3039
BPI_Challenge_2020_PermitLog.xes.gz	ETM	0.6654	0.0814	0.9499	0.9245
BPI_Challenge_2019_log_IEEE.xes.gz	IMf	0.7596	0.4699	0.8094	0.629
BPI_Challenge_2019_log_IEEE.xes.gz	IMd	0.9558	0.7671	0.669	0.4872
BPI_Challenge_2019_log_IEEE.xes.gz	ETM	0.5631	0.0241	1.0	1.0
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	IMf	0.7698	0.1556	0.9608	0.8333
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	IMd	0.9902	0.86	0.6087	0.1911
Sepsis Cases - Event Log.xes.gz	IMf	0.7922	0.4087	0.8272	0.7344
Sepsis Cases - Event Log.xes.gz	IMd	0.9999	0.9913	0.6898	0.475
Sepsis Cases - Event Log.xes.gz	ETM	0.8487	0.3391	0.968	0.9423
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMf	0.8211	0.1764	0.9743	0.9263
