EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG_ENC	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	ESCAPING_EDGES_DFG	ESCAPING_EDGES_DFG_NO_ALGN	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.2823	0.8084	0.6	0.6	21	0	IMf	0.858333333333333	0.243033749003898	0.351351351351351	0.630031659882406	0.776495729919844	0.6	0.754385964912281	0.295341474445952	0.318334	0.303676	0.312063	0.0331	-0.02	-0.8333	-13	-0.0133	-0.2648	0.317	-1.5464	-0.2917	1.38172772501131	0.102091	0.101857	0.101963	-1	-1	-1.0784	-1.3703	-0.140384016095567	1468.1	1.25915808329601	20	12	26	2.9231	4	0.617	0.826	0.3012	0.0237	3.1173	0.0365	0.0201	4.3158	317	15	4.5466	0.2569	0.1557	3.4899	35	35	30
BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.4211	0.9165	0.6	0.7	1564	0	IMf	0.978260869565217	0.26519269544596	0.571428571428571	0.555782167970533	0.925030545625738	0.5	0.808510638297872	0.139965297860035	0.149034	0.144765	0.145937	0.0796	-0.02	-0.8235	-16	-0.0058	-0.2496	0.2674	-0.6364	0.3816	2.79081306505129	0.237782	0.234649	0.236617	0.456401374645429	0.341749407880153	-1.0267	-1.1008	-0.870100560038773	2368.83333333333	1.23544823232323	10	17	22	2.7273	6	0.6901	0.9802	0.7143	0.2405	0.9934	0.1914	0.0493	2.7806	2249	1389	3.625	0.1167	0.5714	2.4969	6449	753	34
DocumentProcessingENG.xes.gz	0.642	0.4248	0.7	0.8	4773	0	IMf	0.758620689655172	0.515451779696858	0.2	1.5830597961773	0.505718268671997	0.6	0.736842105263158	0.791171775876888	0.877618	0.791172	0.908634	0	0	-0.65	-1	0.0625	0.1389	-0.076	-0.6855	-0.9464	0	0	0	0	0.734737340274491	0.6	-0.9395	-0.5702	0	71	0.375	3	4	6	2.3333	3	0.8667	0.9905	0.2857	0.2143	2.1972	0	0	0	18768	18768	0.7642	0.2083	0.6	1.7866	18352	3	10
edited_hh110_labour.xes.gz	0.2222	0.6062	0.7	0.8	16	0	IMf	0.584745762711864	0.098501230692828	0.188679245283019	0.196493791088386	0.601120543362412	0.058823529411765	0.6	0.238130021913806	0.256426	0.250465	0.263137	-0.1469	-0.1667	-2.6287	-6	0.023	0.0698	0.7338	-0.7378	0.0559	0.154127100073046	0.029095	0.029143	0.028692	0.307266210492017	-1	0.0301	-0.4465	-0.336237114534771	161.166666666667	0.520039682539682	47	16	44	2.9545	4	0.6993	0.7082	0.4143	0.0655	2.7744	0.0759	0.0305	4	216	32	3.3278	0.3667	0.1818	2.8176	21	21	17
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	0.575	0.7529	0.8	0.8	41	0	IMf	0.901360544217687	0.199366855265592	0.21875	0.586433548047851	0.751308837459789	0.755555555555556	0.923371647509578	0.341264624687787	0.393645	0.346091	0.368109	-0.1851	0	-2.6242	-35	0.0168	-0.3704	0.3925	-2.2213	0.2432	0.700013145786775	0.031472	0.031077	0.031138	-1	-1	-1.9416	-2.3459	-0.437876148279901	4519.27142857143	1.95473589717776	27	11	25	3.12	4	0.6774	0.8457	0.5662	0.0206	2.8667	0.0185	0.0071	3.3978	2146	11	4.5987	0.1226	0.1897	4.4092	52	52	45
edited_hh104_weekends.xes.gz	0.2172	0.4791	0.7	0.7	12	0	IMf	0.767676767676768	0.164476678972416	0.224137931034483	0.460818713450292	0.469950000473871	0.263157894736842	0.778350515463918	0.334502923976608	0.361732	0.350984	0.361043	-0.3077	-0.3333	-5.2782	-7	-0.0018	-0.011	0.2122	-1.4742	-0.3111	0.43859649122807	0.042806	0.043382	0.042963	0.291640477686989	-1	-0.0013	-0.6177	-0.061042429030698	234.303463203463	0.528455259337612	46	14	39	3.1282	5	0.6828	0.7466	0.2177	0.0432	3.0169	0.0461	0.0175	4.0588	254	49	3.9477	0.5033	0.1169	3.1038	18	18	19
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	0.4709	0.7352	0.7	0.8	105	0	IMf	0.950877192982456	0.218812041066947	0.525	0.255438859714929	0.727920068740871	0.41025641025641	0.765193370165746	0.248312078019505	0.309694	0.253383	0.268772	-0.2419	-0.5	1.8333	-9	-0.0223	-0.3294	0.5914	-0.9172	-0.0268	0.756939234808703	0.068126	0.068138	0.068244	-1	-1	-0.9452	-0.9422	0.039058337160031	2502.47510822511	1.64915172795608	48	24	45	3.4222	9	0.6126	0.7728	0.3247	0.0268	3.0128	0.0208	0.0042	3.9107	2139	14	4.6243	0.1689	0.1644	4.1366	131	128	38
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	0.1828	0.8934	0.7	0.8	20	0	IMf	0.90625	0.229600850518285	0.5	0.334203655352481	0.884472636506809	0.28	0.552238805970149	0.127937336814622	0.140659	0.131924	0.137339	0.0539	0	0.2089	-7	-0.0217	-0.1675	0.3252	-1.0851	-0.3458	2.01892950391645	0.129241	0.126401	0.127397	0.118366455557982	-1	-0.356	-0.4867	-0.214393322871492	860.142857142857	1.09636209556286	36	18	37	3.2432	6	0.6107	0.8059	0.2437	0.0534	3.2733	0.04	0.0215	4.3239	315	21	4.0235	0.2533	0.1645	3.4028	25	25	25
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.6198	0.9074	0.8	0.7	1459	0	IMf	1.00520833333333	0.289255805842108	0.660377358490566	0.683718337771722	0.916854309519684	0.448275862068966	0.786516853932584	0.107388369356537	0.115782	0.110266	0.111894	-0.0343	-0.3571	-2.3082	-5	-0.0123	-0.1123	0.3291	-1.3917	0.1209	0.864618814640491	0.063748	0.063336	0.063511	0.708084077016116	0.497548299627161	-0.7087	-0.8559	-0.342970222813572	1563.14632034632	1.45204539728349	8	16	20	2.7	5	0.6875	0.9526	0.4	0.0476	0.3373	0.0567	0.0161	2.6494	1462	421	3.625	0.125	0.5333	2.6975	2099	202	29
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	0.1065	0.8702	0.8	0.6	26	0	IMf	0.960132890365448	0.278138741747172	0.515942028985507	0.193570929419986	0.903806844221425	0.41025641025641	0.635955056179775	0.160027952480783	0.171462	0.164697	0.163706	0.2295	-0.1657	8.2821	-5	-0.0297	-0.2069	0.2121	-0.9667	0.0928	4.77218728162124	0.258703	0.257105	0.259971	0.089091947458595	0.086673889490791	-1.1769	-0.9795	-0.170352828765939	2461.6873015873	1.15033129506814	38	23	32	3.875	8	0.6	0.8136	0.2199	0.0296	3.16	0.0636	0.0277	4.5069	96	14.5	4.1185	0.2253	0.1531	3.4914	43	41	39
