event_log	algorithm	align_time_fit	align_time_pre	50_freq_fit	50_rand_fit	25_freq_fit	25_rand_fit	50_freq_pre	50_rand_pre	25_freq_pre	25_rand_pre	markov_fit_k_2	markov_pre_k_2
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.1975	0.4279	0.0835	0.1091	0.0453	0.0555	0.1393	0.1814	0.0845	0.1473	0.0599	0.0599
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	IMd	85.5524	113.7852	68.4985	36.1998	48.4231	24.1252	76.578	54.697	47.0408	39.8301	3628.8625	3628.8625
edited_hh104_labour	IMd	62.2113	292.3221	39.9247	36.0048	18.6285	21.4023	182.7769	160.8965	98.5314	84.199	121.784	121.784
activitylog_uci_detailed_labour	IMd	15.6402	51.2646	10.1689	7.1019	5.6615	4.9396	32.9766	23.5856	19.8221	13.0929	1781.476	1781.476
edited_hh102_labour	IMd	0.9186	8.7299	0.4646	1.2267	0.1594	0.5246	5.1647	4.9628	2.933	2.1924	0.5112000000000001	0.5112000000000001
3a_VARA_DE_EXECUCOES_FISCAIS_DA_COMARCA_DE_FORTALEZA_-_TJCE	IMd	1.5886	0.7776	0.8614	0.8751	0.5697	0.3633	0.3855	0.3838	0.2738	0.1966	0.2697	0.2697
BPI_Challenge_2014_Department control parcels	IMd	4.2575	3.7794	1.9264	2.3505	0.834	1.1034	1.3409	2.3829	0.3256	1.2551	0.1426	0.1426
BPI_Challenge_2014_Control summary	IMd	0.9654	1.368	0.3857	0.3752	0.2954	0.0861	0.7112	0.575	0.4122	0.2213	0.23950000000000002	0.23950000000000002
4a_VARA_CIVEL_-_TJGO	IMd	1.0431	0.2098	0.4736	0.5712	0.2199	0.2882	0.085	0.1229	0.0375	0.0722	0.2936	0.2936
BPI_Challenge_2014_Geo parcel document	IMd	2215.8388	4830.3652	1396.1254	1388.7106	631.6654	754.6744	3121.1138	2969.6956	1402.4153	1783.7486	91.8389	91.8389
BPI_Challenge_2014_Entitlement application	IMd	1078.8572	123.5446	638.1683	645.0355	242.638	320.1058	63.4493	77.6018	26.2027	42.2874	32.487	32.487
BPI_Challenge_2014_Inspection	IMd	2792.5783	894.7861	1015.5711	1522.2268	193.3568	787.5988	349.7804	555.0183	44.1557	345.242	0.8809	0.8809
ElectronicInvoicingENG	IMd	0.7321	1.4254	0.2489	0.1307	0.1312	0.0236	0.8745	0.3501	0.5566	0.0558	0.2384	0.2384
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	1386.1078	454.4485	1331.0536	1284.6123	1105.9039	123.4088	330.6055	344.8952	235.2948	63.1342	70.5244	70.5244
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	IMd	62.1259	115.652	39.477	41.5841	26.1887	17.1702	68.2391	86.0053	36.9979	28.8542		
8_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	7200.1841	2226.2582	-1.0	-1.0	-1.0	-1.0	2030.1702	1430.8484	1376.292	713.8988		
BPI_Challenge_2012	IMd	7074.2525	439.0708	3813.0466	4463.4901	1321.1452	2284.4727	217.257	297.9609	74.9223	165.8713	29.6829	29.6829
edited_hh110_weekends	IMd	6.8188	5.6886	4.5072	3.8803	1.7243	1.6113	2.4617	4.4339	1.1942	1.0627	86.889	86.889
DocumentProcessingENG	IMd	0.4613	0.987	0.1276	0.0956	0.0025	0.0024	0.5181	0.3639	0.0011	0.001	0.22899999999999998	0.22899999999999998
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	72.8512	11.2539	38.972	38.257	9.8386	26.8775	5.6025	5.3225	1.3421	3.5638	241.86169999999998	241.86169999999998
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	49.2459	17.8948	28.2082	33.5416	4.9667	20.724	8.7219	10.9567	2.3177	7.6064	3.786	3.786
BPI_Challenge_2020_InternationalDeclarations	IMd	101.4251	12.5029	57.7062	61.6985	26.4088	29.6709	7.0513	8.1147	3.5132	4.4518	58.3236	58.3236
edited_hh104_weekends	IMd	22.4148	53.2178	17.5193	11.383	6.882	7.2669	32.7542	30.9683	17.8929	16.4167	3.2281999999999997	3.2281999999999997
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM	IMd	41.8848	79.4287	32.5486	28.5863	21.0777	16.9328	49.2348	45.9313	33.9921	26.5902	9.069299999999998	9.069299999999998
edited_hh110_labour	IMd	13.1596	33.6065	7.6217	6.8557	3.2505	3.9793	18.8003	18.5429	7.7754	10.0472	126.7718	126.7718
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	570.1454	579.2281	451.5359	289.7096	287.2279	132.6693	348.9427	300.7335	236.6861	156.5343		
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB	IMd	42.8949	8.7859	16.5933	32.0888	10.2479	18.3058	4.4176	6.3	2.092	3.4352	37.6896	37.6896
BPI_Challenge_2020_PrepaidTravelCost	IMd	5.9446	2.0516	2.4924	4.1859	1.2507	1.9549	1.785	1.4617	0.6321	0.8754	0.4492	0.4492
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMd	114.1373	161.2602	67.3968	61.3278	21.8231	34.337	78.7465	104.0974	35.6132	58.9934	629.6137	629.6137
BPI_Challenge_2020_PermitLog	IMd	288.495	49.2966	139.9253	178.7551	56.4672	90.6786	20.4421	31.7549	7.8171	17.3055		
BPI_Challenge_2019_log_IEEE	IMd	7200.3522	7203.8324									1418.5602999999999	1418.5602999999999
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB	IMd	33.7828	22.1904	21.4523	22.8423	8.5461	8.7276	14.5806	13.7779	6.4159	5.7596	1.3352	1.3352
BPI_Challenge_2014_Reference alignment	IMd	2.9265	5.7502	1.6888	1.3269	0.761	0.6292	2.1708	4.1644	0.6174	2.5006	0.28359999999999996	0.28359999999999996
Hospital Billing - Event Log	IMd	22.1982	23.1215	14.0713	12.8886	4.5116	5.6829	12.1438	17.6689	5.5791	9.5329	8.6032	8.6032
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO	IMd	27.7431	6.2861	6.282	13.251	3.0503	5.7254	1.0019	3.5931	0.6221	1.2177	161.1796	161.1796
Road_Traffic_Fine_Management_Process	IMd	12.364	2.4845	6.6366	6.9629	2.9595	3.4748	2.2772	1.1695	1.4463	0.3914	3.9529	3.9529
BPI_Challenge_2020_DomesticDeclarations	IMd	1.2833	1.2462	0.6398	0.7365	0.3121	0.3057	0.5578	0.8695	0.4992	0.498	0.2267	0.2267
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	4945.2399	1697.8952	4869.2377	3545.2569	4083.7934	1733.5002	1497.2063	1166.0626	1202.5823	541.4741		
5a_VARA_CIVEL_-_TJMT	IMd	11.5796	3.4307	7.9055	5.8296	2.609	3.8895	5.6156	1.6092	0.6738	1.237	1.6294	1.6294
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMd	2732.5078	399.3892	826.8487	1805.9342	234.9258	1428.7165	189.1869	280.9459	44.8639	194.1797		
BPI Challenge 2017	IMd	7200.1865	2005.0548	-1.0	-1.0	3563.2913	4779.9305	1199.6451	1295.0063	416.9093	722.7255	577.3144	577.3144
Sepsis Cases - Event Log	IMd	112.5839	22.9017	57.6561	83.9678	26.4126	27.5204	10.2128	17.3664	4.8444	5.8996	18.702	18.702
BPI_Challenge_2013_incidents	IMd	52.8198	126.6015	27.8648	32.4101	8.891	17.7082	51.5375	82.3434	15.3834	41.1507	0.43789999999999996	0.43789999999999996
BPI_Challenge_2013_open_problems	IMd	0.6793	0.5401	0.3102	0.3733	0.1334	0.1818	0.116	0.2649	0.0401	0.1206	0.035	0.035
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMd	215.8912	37.8119	119.0756	165.7563	49.8535	55.9977	20.0494	25.9034	9.386	11.6152		
VITORIA_-_5a_VARA_CIVEL_-_TJES	ETM	7200.1184	470.0398	-1.0	5590.7291	6700.5031	3930.3707	278.6046	245.2978	199.4064	153.3444	0.2243	0.2243
activitylog_uci_detailed_weekends	ETM	24.6431	6.4452	10.0891	16.9961	4.5315	7.8569	2.803	3.6165	0.8771	1.4218	0.1275	0.1275
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.5237	0.4381	0.1188	0.183	0.0611	0.121	0.1624	0.1914	0.0834	0.1503	0.0107	0.0107
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE	ETM	6859.6614	217.5094	5874.3766	3792.4776	4315.5361	2663.1481	135.5253	101.6841	98.7276	76.2833	1.0946	1.0946
activitylog_uci_detailed_labour	ETM	279.8459	33.0139	138.2739	144.899	58.7806	59.2097	17.1892	13.5452	9.6861	6.1139	0.45549999999999996	0.45549999999999996
BPI_Challenge_2014_Department control parcels	ETM	2.8594	4.0445	1.0976	1.389	0.4938	0.5325	1.076	1.9655	0.4991	1.1133	0.14270000000000002	0.14270000000000002
BPI_Challenge_2014_Control summary	ETM	1.5682	1.0993	0.5553	0.5323	0.3545	0.2384	0.4768	0.3877	0.4206	0.2223	0.2401	0.2401
4a_VARA_CIVEL_-_TJGO	ETM	2.2019	0.9404	0.7208	1.1355	0.3173	0.4564	0.3208	0.514	0.1352	0.2598	3.8348	3.8348
BPI_Challenge_2014_Geo parcel document	ETM	5410.2393	676.9896	2862.0345	2596.8087	1180.1959	1339.8552	373.4587	341.5446	178.5417	187.3652	1.4579	1.4579
BPI_Challenge_2014_Entitlement application	ETM	1722.9153	313.4397	706.9034	871.1063	311.962	420.6696	141.2209	172.2515	57.1842	93.7581	0.6016	0.6016
BPI_Challenge_2014_Inspection	ETM	7200.245	2862.6929999999998	-1.0	-1.0	533.6998	-1.0	906.6776	1763.7572	112.6804	900.2092	0.5576	0.5576
ElectronicInvoicingENG	ETM	0.7109	1.4047	0.2261	0.1561	0.1209	0.0626	0.7973	0.48	0.5222	0.2121	0.16649999999999998	0.16649999999999998
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE	ETM	206.4691	54.4986	109.432	78.6152	76.6734	47.2329	29.7101	24.0185	16.6876	13.6897	0.1209	0.1209
