case:concept:name	cluster_label
10619_TRT18	0.5882
1061_TRT11	0.4706
1061_TRT21	0.8235
10620_TRT18	0.5882
10623_TRT18	0.5882
10624_TRT18	0.5882
10625_TRT18	0.5882
10626_TRT18	0.5882
10627_TRT18	0.5882
10629_TRT18	0.5882
1062_TRT12	0.6471
1062_TRT21	0.8235
1062_TRT22	0.7059
10630_TRT18	0.5882
10635_TRT18	0.5882
10636_TRT18	0.5882
10637_TRT18	0.5882
1063_TRT12	0.6471
1063_TRT21	0.8235
1063_TRT7	0.2941
10640_TRT18	0.5882
10641_TRT18	0.5882
10644_TRT18	0.1176
10646_TRT18	0.5882
10649_TRT18	1.0
1064_TRT11	0.4706
1064_TRT15	0.1765
1064_TRT18	0.2353
1064_TRT20	0.5294
1064_TRT22	0.7059
10651_TRT18	0.5882
10652_TRT18	0.5882
10653_TRT18	0.5882
10654_TRT18	0.2353
10655_TRT18	0.2353
10656_TRT18	0.4706
1065_TRT11	0.4706
1065_TRT12	0.8824
1065_TRT15	0.4706
1065_TRT21	0.8235
1065_TRT22	0.7059
1065_TRT7	0.0588
10661_TRT18	0.2353
10662_TRT18	0.0
10664_TRT18	0.2353
10667_TRT18	0.2353
1066_TRT15	0.4706
1066_TRT18	0.1176
1066_TRT21	0.5882
1066_TRT22	0.7059
1066_TRT8	0.5882
10671_TRT18	0.2353
10676_TRT18	0.1176
10677_TRT18	0.5882
10678_TRT18	0.1176
1067_TRT11	0.5882
1067_TRT15	0.2941
1067_TRT18	0.2353
1067_TRT21	0.8235
1067_TRT22	0.7059
1067_TRT8	0.7059
10681_TRT18	0.1176
10682_TRT18	0.5882
10683_TRT18	0.2353
10684_TRT18	0.5882
10686_TRT18	0.2353
1068_TRT11	0.2941
1068_TRT15	0.3529
10690_TRT18	0.5882
10691_TRT18	0.5882
10692_TRT18	0.2353
10693_TRT18	0.1765
10699_TRT18	0.5882
1069_TRT11	0.2941
1069_TRT12	1.0
1069_TRT15	0.2941
1069_TRT21	0.8235
1069_TRT22	0.7059
106_TRT11	0.4706
10700_TRT18	0.5882
10702_TRT18	0.5882
10707_TRT18	0.5882
1070_TRT11	0.4706
1070_TRT12	0.6471
1070_TRT20	0.5882
1070_TRT22	0.7059
10714_TRT18	0.2353
10718_TRT18	0.0588
1071_TRT11	0.1765
1071_TRT15	0.3529
1071_TRT20	0.5882
1071_TRT21	0.5882
1071_TRT22	0.7059
10720_TRT18	0.5882
10722_TRT18	0.2353
10723_TRT18	0.1176
1072_TRT20	0.5882
1072_TRT21	0.8235
1072_TRT22	0.7059
10731_TRT18	0.2353
10733_TRT18	0.1765
1073_TRT11	0.2941
