	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_LOG_50_FREQ	PRECISION_LOG_50_RAND	PRECISION_LOG_25_FREQ	PRECISION_LOG_25_RAND	DISCOVERY_ALG	PRECISION	FITNESS
ABS_DEGREE_ENTROPY	0.39798759646482623	0.24157342328081793	0.4172846975821608	0.15869067896397798	0.013547031725691399	0.12396173864376235	0.44454010619569473	0.9375564340420773	0.5979378159630098	0.5809416644498699	0.09415339984385578	0.07407929621785078	1.0	1.0	0.4524239830759306	0.10765539210692239	0.1377386652625905	0.03719026818519561	0.7613831129771055	0.976163625093863	0.33862773935452045	0.06645954653445653	0.14369660444119378	0.22852436825036412	0.5140789808753773	0.2530258423935874	0.12827575169998004	0.16364336186729592	0.11797560468916732	0.11495091472888228	0.14981369544541853	0.16304257395657681	0.06594032945386233	0.3479418294997395	0.38421583448523483	0.3403222104422116	0.35943970837343575	0.4315757955845838	0.5378353219613596	0.41028222347458887	0.51719168640967	0.12755653564526276	0.5834728408077563	0.23376062678316822
ABS_DEGREE_ENTROPY_DIV	0.39798759646482623	0.24157342328081793	0.4172846975821608	0.15869067896397798	0.013547031725691399	0.12396173864376235	0.44454010619569473	0.9375564340420773	0.5979378159630098	0.5809416644498699	0.09415339984385578	0.07407929621785078	1.0	1.0	0.4524239830759306	0.10765539210692239	0.1377386652625905	0.03719026818519561	0.7613831129771055	0.976163625093863	0.33862773935452045	0.06645954653445653	0.14369660444119378	0.22852436825036412	0.5140789808753773	0.2530258423935874	0.12827575169998004	0.16364336186729592	0.11797560468916732	0.11495091472888228	0.14981369544541853	0.16304257395657681	0.06594032945386233	0.3479418294997395	0.38421583448523483	0.3403222104422116	0.35943970837343575	0.4315757955845838	0.5378353219613596	0.41028222347458887	0.51719168640967	0.12755653564526276	0.5834728408077563	0.23376062678316822
ABS_MODEL_DEGREE_ENTROPY	0.2913981170864753	0.1563176852533372	0.3002545674404363	0.002585104746118552	0.08838665502884954	0.12216171251197137	0.41456024568218514	0.9384215171057891	0.44753472012636075	0.4880587171957466	0.0007601129680572803	0.014271721636348458	0.976163625093863	0.976163625093863	0.2665236355610131	0.08066745319831953	0.07479471064489665	0.18914378401108914	0.7805274602428773	1.0	0.41947268479747213	0.12550715613143493	0.08671236173495488	0.15996396284945866	0.5088398713978833	0.32841728076853793	0.12444625282138815	0.024167534218221966	0.1322632343403338	0.05252614341639537	0.2536178331265135	0.24835703905738413	0.1624345391542585	0.2594487522676218	0.29697425798287963	0.25023346012746245	0.2860557911993391	0.4500484402938702	0.5244983923017754	0.4352706401664075	0.5028969306124738	0.08099138671942176	0.567084530516914	0.1682069135723316
ABS_MAX_DEGREE	0.5701041347041684	0.3866803349065686	0.6141119095039855	0.5326535848325129	0.37969694172013363	0.10632607081596286	0.5184685345559118	0.5626627037700682	1.0	0.8565736245105324	0.23047227615234112	0.11676662983249694	0.5979378159630098	0.5979378159630098	0.8584223489767602	0.7605870742459151	0.6930732569226411	0.45379418146091166	0.5162953568214097	0.44753472012636075	0.08848769699624251	0.04655748694898767	0.31942047244603305	0.38773161071497686	0.4381970883042115	0.058542692165895596	0.007569900039732758	0.6540255352881218	0.016566068757546033	0.23807424646644246	0.34647421090360125	0.2920750647161092	0.3787701235241943	0.5098662015790725	0.5662531543324619	0.514769046428396	0.48082146607358095	0.3280050327412271	0.512050240952574	0.27957980694462536	0.5125207962890139	0.2618819435169759	0.5469285706936894	0.3852218777413851
ABS_MODEL_LINK_DENSITY	0.1934680608676996	0.2885089706268978	0.17226967804592624	0.17750780551781836	0.23140594852850024	0.09295527365155012	0.5371954314775147	0.4836796904312873	0.08848769699624251	0.24307108271873612	0.1302395661722357	0.15592860959319843	0.33862773935452045	0.33862773935452045	0.007094060921657349	0.3884068839129842	0.332165076050249	0.6992610246808318	0.6609235010839236	0.41947268479747213	1.0	0.4299325895932813	0.2967707616223031	0.3388476534478099	0.35592270410403637	0.37653205316832977	0.13841856796778643	0.4462577480915664	0.2361622617305804	0.05325754138310969	0.47502085280428663	0.3537717719940022	0.31899918040473946	0.24610342288289672	0.14206899112230315	0.24940280675021834	0.15214890317692467	0.47135023318394803	0.5080907013618405	0.4908620632754222	0.49902811049027773	0.07388086073119558	0.46775170238582664	0.11455409141132422
PN_TRANS	0.4615513432690676	0.5436160097430577	0.3915754745921065	0.17132750909950542	0.19584446803558142	0.36672046433513095	0.5247910815618104	0.1823975986490836	0.31942047244603305	0.3559234096303886	0.054731649480115024	0.17002651945587358	0.14369660444119378	0.14369660444119378	0.22590129383897595	0.2112022501573917	0.2595017097934009	0.3877308348999263	0.19897272417657283	0.08671236173495488	0.2967707616223031	0.20529141701383516	1.0	0.9516501456480609	0.5017924985251061	0.08824216286192417	0.2569853898276265	0.3576987694837516	0.28951581794679937	0.11959245132439078	0.547740380450339	0.5241858843540949	0.5219763069371613	0.48872481449006	0.5404005871430015	0.5212599646260782	0.5274300704966594	0.2146557664073102	0.3960879599562331	0.20033005855527863	0.4102694625857157	0.5039589985900466	0.41786515955126596	0.3858393578314319
PN_PLACES	0.465722040930088	0.5194094916161337	0.4074787947306728	0.2657983388352727	0.23502074296565453	0.35976645359123494	0.49170888865632345	0.24415772489169346	0.38773161071497686	0.4300866416566017	0.05037291157941999	0.1509386370783472	0.22852436825036412	0.22852436825036412	0.28121073937170465	0.2819018505978527	0.31013665234797955	0.46344295526860935	0.20834507036092584	0.15996396284945866	0.3388476534478099	0.05275449103735106	0.9516501456480609	1.0	0.44188703606029034	0.15529463229906104	0.21213987479692747	0.3819484677829005	0.29708452052587764	0.036373100623326785	0.5630926350018723	0.5413580053094532	0.5360057983154499	0.4983751123525485	0.5536008386191059	0.536084515600939	0.5320174942247771	0.2069904529170476	0.37669002946395425	0.18301518981917023	0.4019360383663434	0.4924768760639296	0.40943418117155966	0.4099274322366843
DISCOVERY_ALG	0.012497883654430853	0.1378198455044099	0.02602998608284297	0.21595733925975596	0.2414827755855534	0.09601230625452574	0.4445687499846345	0.17931967422542486	0.2618819435169759	0.2866020443200226	0.12657260066746556	0.02372931783397631	0.12755653564526276	0.12755653564526276	0.28843079246938863	0.10218301327825126	0.21674228021018335	0.21000417090674595	0.2671877040120369	0.08099138671942176	0.07388086073119558	0.2220226714416044	0.5039589985900466	0.4924768760639296	0.13878067680134043	0.42730079254686565	0.04860408997502447	0.21608975447866582	0.0051826000355852655	0.1245649497478715	0.06681992935809852	0.01098639258631822	0.017589551389609957	0.07794859040895126	0.20237401582596506	0.11243090032426717	0.2265310696730703	0.40959266840294906	0.4586746034630127	0.3905887483925865	0.47765742066184874	1.0	0.4093729479588771	0.15136104620372018
PN_SILENT_TRANS	0.02183879402504249	0.05924082011445301	0.0035718852227614698	0.29112837749525233	0.15838264740671193	0.03562627592646925	0.43078129667023524	0.18650447523429156	0.04655748694898767	0.007378180421197227	0.07386156412223216	0.12952979227041272	0.06645954653445653	0.06645954653445653	0.0839888313623305	0.3389381794066976	0.2549725990799009	0.41045708473722897	0.3776290056602137	0.12550715613143493	0.4299325895932813	1.0	0.20529141701383516	0.05275449103735106	0.444217517282709	0.3076395740206768	0.019885673842846893	0.22458780858652758	0.15674020572697236	0.19354148817563127	0.21104858774832774	0.20331556802503667	0.17892647621349525	0.006257962616915181	0.03439087850200351	0.020087083984539032	0.05597455291691255	0.34690360478033916	0.41800063327967263	0.3692191698053072	0.3892245191309001	0.2220226714416044	0.39046947278314176	0.06531295401881757
ABS_LINK_DENSITY_DIV	0.5630520999120033	0.4241107694498908	0.6271536927246866	0.6919149371982332	0.3828504216592808	0.05615846121869229	0.40305408125275116	0.36109491455821924	0.8584223489767602	0.6592508481586175	0.37399015691616494	0.21938169512974567	0.4524239830759306	0.4524239830759306	1.0	0.7302459140552133	0.8499749421225496	0.5280478075356011	0.34863841394786044	0.2665236355610131	0.007094060921657349	0.0839888313623305	0.22590129383897595	0.28121073937170465	0.2920208322397882	0.1795568242591901	0.0338370073201024	0.7899887711049566	0.03516149086879263	0.26765625052154846	0.3508540653268437	0.2708807118932778	0.35696918170501635	0.48219976573413703	0.5283904889348356	0.49137457693619935	0.4513232990045701	0.15493482482379606	0.3326707047510671	0.13062389011448247	0.3366888038567912	0.28843079246938863	0.3487730215697523	0.3345128519646931
