	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND	DISCOVERY_ALG	PRECISION	FITNESS	TIME_MARKOV
PRECISION_25_RAND	0.020246706137329595	0.0636595083239146	0.0170067585556477	0.10824979907159464	0.20770688997276193	0.03761108510175463	0.8800550443447944	0.6578219941881875	0.3713325651390555	0.5398542390645521	0.1698347611637151	0.004826600292073162	0.382993545256624	0.382993545256624		0.05154029444172043	0.012347910958348201	0.06515181881643711	0.606154082960199	0.49566826840102507	0.09106749536310396	0.083826604888245	0.03493243678523037	0.1715309058995548	0.09344021688813722	0.06740834702831396	0.10131045128496881	0.0541598912562284	0.35054240554776056	0.38680064218246824	0.3938013665176718	0.39029706515049867	0.5585394421108874	0.04952566347047261	0.5585432530750681	0.5585432530750681			0.31450374141371634	0.3118919345240349	0.17653521535948904	0.2947183027629356			0.11019465204114644	0.10146196299770573	0.12494208754106828	0.1868343033349845	0.12047292930301945	0.15128222498807833	0.8723230934648778	0.9686184666409581	0.8552853212513889	1.0	0.3692916135194521	0.8401143896434399	0.00299578505559948	0.23383902634099898
ABS_DEGREE_ENTROPY	0.540536178183663	0.49011900908890726	0.5826052098571812	0.48774746320302914	0.25416775633509225	0.0009350582202643734	0.4683028279521291	0.610163364395262	0.8959104059177729	0.733257520005039	0.2699669572649158	0.16879576851267053	1.0	1.0		0.6860263144265244	0.6448745567486407	0.3995195102304792	0.4478440238147741	0.5127435835336086	0.2697711791166969	0.03197308473524717	0.7487309699515354	0.03863235563961133	0.1273834430554103	0.33135716321020486	0.28749516545771514	0.36437080705630853	0.05332295041536593	0.2538316530686166	0.35578038369852527	0.42280200233797494	0.43762108947172523	0.005175756760912037	0.4376254528553344	0.4376254528553344			0.33004319688074557	0.33994514004808934	0.1803696208529314	0.21906267249893863			0.292632230170577	0.31467900648675406	0.5588822940554683	0.6106101028053624	0.5568994253320921	0.5541505907558353	0.20091501770250078	0.38534991824099885	0.17865144138680797	0.382993545256624	0.22524761980079677	0.338461331179074	0.22881488140838532	0.23053724315671678
ABS_DEGREE_ENTROPY_DIV	0.540536178183663	0.49011900908890726	0.5826052098571812	0.48774746320302914	0.25416775633509225	0.0009350582202643734	0.4683028279521291	0.610163364395262	0.8959104059177729	0.733257520005039	0.2699669572649158	0.16879576851267053	1.0	1.0		0.6860263144265244	0.6448745567486407	0.3995195102304792	0.4478440238147741	0.5127435835336086	0.2697711791166969	0.03197308473524717	0.7487309699515354	0.03863235563961133	0.1273834430554103	0.33135716321020486	0.28749516545771514	0.36437080705630853	0.05332295041536593	0.2538316530686166	0.35578038369852527	0.42280200233797494	0.43762108947172523	0.005175756760912037	0.4376254528553344	0.4376254528553344			0.33004319688074557	0.33994514004808934	0.1803696208529314	0.21906267249893863			0.292632230170577	0.31467900648675406	0.5588822940554683	0.6106101028053624	0.5568994253320921	0.5541505907558353	0.20091501770250078	0.38534991824099885	0.17865144138680797	0.382993545256624	0.22524761980079677	0.338461331179074	0.22881488140838532	0.23053724315671678
ABS_EDGES_ONLY_IN_MODEL	0.088441753259585	0.1770095275613473	0.0718054028677112	0.17383986655474576	0.1992780543212442	0.07869167746971147	1.0	0.6607086413623718	0.4406841604084885	0.6015467305790156	0.05818559339488221	0.11382015170542079	0.4683028279521291	0.4683028279521291		0.09522177256232274	0.0906211682317474	0.03749422822967819	0.6616268817752169	0.4895884921606023	0.09021641517456899	0.04107150992717667	0.10499800331181698	0.028612920673162224	0.12954976312898392	0.11245873701503202	0.12196465351289343	0.1593101541631255	0.32305743666302844	0.4253548146752283	0.44714047986314887	0.4504366486673237	0.689519884198675	0.16872005902610557	0.6895253254339587	0.6895253254339587			0.1682369805654689	0.17661971735586557	0.27703906917508997	0.3740467436742081			0.014654639576611526	0.006256791683760755	0.19831089265914137	0.26998199431017245	0.1852504782254571	0.23626232682515638	0.7313912731864695	0.8798307526130148	0.712078881135482	0.8800550443447944	0.294817613223991	0.7758966232355007	0.071495599121118	0.20786019214224297
PRECISION_50_FREQ	0.15546337314669736	0.09728265577479288	0.158615119567335	0.07452032396780232	0.2154267787536114	0.009868374568903873	0.7313912731864695	0.546659118314536	0.18813959497447433	0.3655444159060051	0.07734617897197002	0.06865685901962812	0.20091501770250078	0.20091501770250078		0.08083651712410209	0.14458555720902094	0.13701710481642448	0.49760908691189054	0.41760798809760424	0.11595087672542566	0.1505813245122523	0.1271794472492077	0.22956502405496715	0.09658473090955338	0.223529506393967	0.2699223035996606	0.2467979889833298	0.3143422437884329	0.30432490474028145	0.2149261673441676	0.2099048314958233	0.41519102582715045	0.04527346417655209	0.4151970693885882	0.4151970693885882			0.2569182356784764	0.2468205379315668	0.1424590735679908	0.2445177644947163			0.08987763465004422	0.06267430863850376	0.0557281383680387	0.021387147258477034	0.0599545676004812	0.02973651519113713	1.0	0.8869429270494951	0.9729220702273771	0.8723230934648778	0.31490931838066594	0.7967281069900737	0.1004757753967723	0.19861454152255562
PRECISION_25_FREQ	0.15371823719819208	0.07665860615763308	0.1474357853012416	0.07299818461947269	0.2373046228054769	0.024706292392765852	0.712078881135482	0.5337857088939668	0.14897113544411864	0.3473816415602273	0.07330030628038083	0.04827430715008896	0.17865144138680797	0.17865144138680797		0.12716247730632113	0.16131622928206296	0.15933898963187554	0.5073803733193902	0.4087346882284153	0.13875847456071852	0.15135385777407473	0.14772558568327535	0.22721053022632848	0.10457833405983177	0.2395688733214365	0.2718759531814615	0.24792925338872765	0.33694134861868175	0.28949194864847966	0.20190076459235923	0.18761734362773078	0.4062438451441269	0.04022057906794038	0.4062456067215913	0.4062456067215913			0.23885786270781534	0.23374332939860865	0.13899904884428224	0.2410838155116884			0.06561057069274229	0.045232825898832985	0.05172828894143619	0.02545163963579014	0.06177179979006371	0.024293959821212765	0.9729220702273771	0.8611880874113205	1.0	0.8552853212513889	0.3020572896067348	0.769664226680363	0.13709084229960722	0.1932788764353061
LOG_AVG_EDIT_DIST	0.34166628752521855	0.4235512945618986	0.2897214069577175	0.44900852432243993	0.3434752723642639	0.03980492487370201	0.1593101541631255	0.0553870748845005	0.4681816284286697	0.39351538104478906	0.002343524668164742	0.06045272551914362	0.36437080705630853	0.36437080705630853		0.5453375460020823	0.5711422768458437	0.44656202411784474	0.09065952523365578	0.18290791273563553	0.3604376580752693	0.31216938181945514	0.5481103072525335	0.3767887396617082	0.0968089593147783	0.7626123559847638	0.974269671529883	1.0	0.1631730445196222	0.25246431891829646	0.5251430282754919	0.5369587564219748	0.2688425672250787	0.05566605101492866	0.268855695202652	0.268855695202652			0.13230988514325356	0.12449998931726587	0.046758818425216835	0.006086700135283574			0.002676477902299303	0.0029430489225121515	0.46604259545833465	0.4342535155737832	0.45533379828263426	0.4177356410332921	0.2467979889833298	0.04023048578091159	0.24792925338872765	0.0541598912562284	0.0006799680346627276	0.04841004386896575	0.2625415810403357	0.1727414593762382
LOG_PERC_UNIQUE_SEQS	0.493631680789435	0.6875896789685214	0.4670903695948443	0.4286149042774599	0.5052794792799186	0.12487155156343552	0.11245873701503202	0.1337394872641515	0.45101157303103007	0.4555766084984733	0.02688427984709742	0.0069764353720292525	0.33135716321020486	0.33135716321020486		0.5957712950175794	0.614701768187708	0.5568574567003303	0.20939389608080747	0.2853269755169363	0.48918914989713086	0.4928453362130908	0.5914077597931495	0.5538025277266987	0.14555993780489623	1.0	0.7614722744941218	0.7626123559847638	0.19886329808607647	0.3045439835082098	0.5489734485844936	0.5635129777891253	0.21168319968727495	0.1663432091328766	0.2116805729431874	0.2116805729431874			0.0022170212667456763	0.016830165015040713	0.1553487450611845	0.23391494148487513			0.1878549244251726	0.22177823306516142	0.6161395924258588	0.534533767728815	0.6354557191129193	0.5068260623143138	0.223529506393967	0.08555143283256225	0.2395688733214365	0.06740834702831396	0.043037120069448674	0.02017542107454975	0.20119371459441535	0.17247317090809683
PRECISION	0.17934785608268253	0.12825855845573592	0.1925646668230266	0.11905337772007578	0.11320837238082465	0.07306683851949199	0.7758966232355007	0.4530253232345334	0.3068685623351814	0.4381524958688476	0.03748802409085949	0.1104473848384355	0.338461331179074	0.338461331179074		0.11052727197211178	0.07754662622818917	0.12075607206310507	0.3791408330803415	0.33538514222984656	0.04284823735744378	0.04659138321378397	0.11837060548312921	0.14388320728709247	0.026014927591838266	0.02017542107454975	0.0321215820328871	0.04841004386896575	0.24224656171894743	0.27340585124349603	0.3066937023481897	0.3057167659962458	0.4610711977944901	0.1258358505987861	0.4610742732290924	0.4610742732290924			0.12788272543867182	0.12189900737892348	0.19433769073540524	0.2532256656450904			0.00023090906943647668	0.011806767716438293	0.019761724054173847	0.06862635917543518	0.04323421482059757	0.03458584410177584	0.7967281069900737	0.8714891166248776	0.769664226680363	0.8401143896434399	0.12438710698545107	1.0	0.3018094982152642	0.16622023281415285
ABS_MAX_CLUSTER	0.2615728122359384	0.09384919887680897	0.29183868011264313	0.13937707794439116	0.0026185881141039223	0.2191226834325484	0.05818559339488221	0.27641646287473365	0.27275529756710104	0.22790201495687165	1.0	0.7427673316068164	0.2699669572649158	0.2699669572649158		0.22639424522422494	0.11676615372001335	0.11052467916983671	0.09595417383946953	0.2024877384860685	0.06694056213896205	0.0037658798361683427	0.2145239676349165	0.13629673552300722	0.1369724797114727	0.02688427984709742	0.14502764407375793	0.002343524668164742	0.17307406603207529	0.10456119487912284	0.0006385454574008336	0.0325223995723925	0.012253457619635515	0.16711419871177813	0.012233072499257081	0.012233072499257081			0.2862781680436092	0.2875051413633511	0.06238404782062029	0.08657238955725703			0.20766031492009834	0.21781558557532224	0.19832844638615876	0.10160222284245071	0.20453889699482125	0.007021207972407998	0.07734617897197002	0.15645880325277345	0.07330030628038083	0.1698347611637151	0.12153804245170302	0.03748802409085949	0.16630999715506944	0.15813998215044572
ALIGNMENTS_MARKOV	1.0	0.6729085003669749	0.9750447919309034	0.25230243425100896	0.3443958100909408	0.18867597598420482	0.088441753259585	0.36255754886129227	0.4881480947883247	0.4323497914001931	0.2615728122359384	0.15682069301344445	0.540536178183663	0.540536178183663		0.3969569544900234	0.37718146021920007	0.22728370889958963	0.20386892257043862	0.24121636491574575	0.25948706374856867	0.2643181096808054	0.46279222935926817	0.2625939813568339	0.03361147990847932	0.493631680789435	0.24835787416325666	0.34166628752521855	0.034036781220850514	0.26262956318763664	0.3238095495567163	0.3212353754894953	0.34241031582744663	0.02097522356566022	0.3424050577860263	0.3424050577860263			0.0985550943333514	0.10763405565747541	0.16166797938320998	0.14303583295635497			0.1727945454490206	0.2036704332687735	0.8811807056689119	0.8061746636647031	0.8824592791698335	0.758691405273989	0.15546337314669736	0.013842025687791141	0.15371823719819208	0.020246706137329595	0.05221186586491361	0.17934785608268253	0.4554711013317014	0.15497933907556707
FITNESS_50_RAND	0.8061746636647031	0.6482897601483284	0.7928766962400083	0.29621785349134394	0.31623641175020095	0.24019574299677096	0.26998199431017245	0.39396404544471214	0.5502140425044744	0.5002341097110352	0.10160222284245071	0.06833303229729251	0.6106101028053624	0.6106101028053624		0.4329196413149689	0.43334891324300495	0.3930309932602125	0.2621207910035327	0.2678376066796981	0.3639498119768618	0.22725010642183316	0.546582075377467	0.3032254813259871	0.009484390927587856	0.534533767728815	0.3600776626182993	0.4342535155737832	0.024091456970886858	0.3591732732264762	0.5077866379275127	0.520277916859166	0.4663994204303093	0.039191865156465486	0.46639805373944143	0.46639805373944143			0.1516327930933702	0.16090326007654865	0.17271706347716528	0.1878825329684391			0.1817750393150708	0.20476067712458249	0.897920172039148	1.0	0.8849177204933599	0.9000086784526354	0.021387147258477034	0.16471384938561923	0.02545163963579014	0.1868343033349845	0.18155239493626332	0.06862635917543518	0.44505890067300274	0.15265534287418858
PN_ARCS_MAX	0.02097522356566022	0.056532554101504776	0.030222923085037604	0.16558763540826596	0.2336530405116053	0.007716173006266299	0.16872005902610557	0.2584613378989875	0.08317861377780789	0.03937033156352675	0.16711419871177813	0.140942943347642	0.005175756760912037	0.005175756760912037		0.2616810793011804	0.28625028247961354	0.15983692326376542	0.31583314947170515	0.3280407156977647	0.3018595586837295	0.12719306670445343	0.2338844202665508	0.1354083067004804	0.06141260014387633	0.1663432091328766	0.03257316043596818	0.05566605101492866	0.32722637838135094	0.01914753281285655	0.06589153957600356	0.14080594893568568	0.5602529117698702	1.0	0.5602644531598324	0.5602644531598324			0.7465003453452648	0.7570995772225031	0.9355577063763618	0.8737933474202549			0.7082290480933954	0.724204077833995	0.024126846073493028	0.039191865156465486	0.02071945234807435	0.0751066357104639	0.04527346417655209	0.10349493972091386	0.04022057906794038	0.04952566347047261	0.42480374119474457	0.1258358505987861	0.05217549308916217	0.14957926308312378
ABS_EDGES_ONLY_IN_LOG_W	0.9750447919309034	0.6582721334018015	1.0	0.25961692934962655	0.35763247146451194	0.19020691443570917	0.0718054028677112	0.36586676690733144	0.5465857710468256	0.4805537982187356	0.29183868011264313	0.1865671835032878	0.5826052098571812	0.5826052098571812		0.44594599846052974	0.41019817565401384	0.21965622480881286	0.22430925812439542	0.2573647626694187	0.21891340353289834	0.25938781826375756	0.5064337470393286	0.2594901169028246	0.0299380006162217	0.4670903695948443	0.1958666657717702	0.2897214069577175	0.006312911386373976	0.19478072877921584	0.24317749419786397	0.25543969263191657	0.29587389257897345	0.030222923085037604	0.29586606893612305	0.29586606893612305			0.14706350433061033	0.1601675061281129	0.11982121788879742	0.10611502926391121			0.22594913795652588	0.26388830358838966	0.8734325546788871	0.7928766962400083	0.8730988927663078	0.7331710695858955	0.158615119567335	0.020494568120041343	0.1474357853012416	0.0170067585556477	0.054725408132656875	0.1925646668230266	0.4461934847141129	0.14954681658595043
