	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND	DISCOVERY_ALG	PRECISION	FITNESS	TIME_MARKOV
ABS_DEGREE_ENTROPY	0.38586403952705806	0.23473797109110348	0.39898437542601123	0.15612650311816845	0.01640951122356957	0.12103746436037069	0.42279854295619124	0.9369031213939217	0.5882482061793061	0.569742075410944	0.10017686991463505	0.07882872930266267	1.0	1.0	0.4471180048980994	0.10777122272473585	0.13447303687517984	0.03634110102837192	0.7598097291301739	0.9756476947681948	0.3386411813883939	0.13036072376301314	0.15820445199906566	0.11635456921590846	0.12057912359008628	0.151600202390706	0.16462094938042987	0.06687356070128539	0.07041167957234862	0.07762060200082041	0.14354872127099028	0.22673492868630693	0.49391293577332174	0.24835132434384852	0.4939231647451938	0.4939231647451938			0.2517088718166927	0.2533469753404551	0.35320586101678586	0.3982954243771949	0.34129508543684145	0.37077763265123054	0.3946820920459765	0.512008120549954	0.37721356810152357	0.49621433706380447	0.13173355355380106	0.3616018475912585	0.2123589026992175	0.2928809211957048
ABS_DEGREE_ENTROPY_DIV	0.38586403952705806	0.23473797109110348	0.39898437542601123	0.15612650311816845	0.01640951122356957	0.12103746436037069	0.42279854295619124	0.9369031213939217	0.5882482061793061	0.569742075410944	0.10017686991463505	0.07882872930266267	1.0	1.0	0.4471180048980994	0.10777122272473585	0.13447303687517984	0.03634110102837192	0.7598097291301739	0.9756476947681948	0.3386411813883939	0.13036072376301314	0.15820445199906566	0.11635456921590846	0.12057912359008628	0.151600202390706	0.16462094938042987	0.06687356070128539	0.07041167957234862	0.07762060200082041	0.14354872127099028	0.22673492868630693	0.49391293577332174	0.24835132434384852	0.4939231647451938	0.4939231647451938			0.2517088718166927	0.2533469753404551	0.35320586101678586	0.3982954243771949	0.34129508543684145	0.37077763265123054	0.3946820920459765	0.512008120549954	0.37721356810152357	0.49621433706380447	0.13173355355380106	0.3616018475912585	0.2123589026992175	0.2928809211957048
PRECISION_50_RAND	0.07188511111519137	0.09728379340562465	0.05495104614863997	0.15676505808623917	0.10147488911302681	0.18957248006842864	0.8407383929004906	0.6454218105541668	0.4717135328371273	0.6324039836592132	0.07741746650854828	0.14052893885054069	0.512008120549954	0.512008120549954	0.335207750976752	0.058133601770710815	0.12107125487304618	0.03287124767368343	0.6491051565493253	0.49050428028200094	0.4758168648462173	0.07281095412135521	0.03240567941800071	0.1789129936437922	0.057860787390047304	0.08555143283256225	0.08904434134292573	0.04023048578091159	0.37345335824093584	0.40847260168062094	0.37851617562829626	0.3650709381729999	0.5708680085997174	0.10349493972091386	0.5708716126580794	0.5708716126580794			0.2603158373095149	0.25765842027029673	0.11129517012471242	0.16471384938561923	0.11213750601458033	0.11515152881003841	0.8869429270494951	1.0	0.8611880874113205	0.9686184666409581	0.34566712071107514	0.8714891166248776	0.03645059323081619	0.2928424007298736
PN_SILENT_TRANS	0.024711718601826985	0.053388221129227954	0.002152214063839078	0.2760460977056857	0.12614817751424226	0.034011371285738654	0.4040233527255751	0.1888555871969091	0.005650884207830589	0.03255864750462726	0.04277288783747077	0.10560278273254312	0.07041167957234862	0.07041167957234862	0.05690080124587045	0.2946764087471566	0.23244180137031697	0.34749851862069253	0.38386068884564084	0.12474724327214698	0.4244747397119865	0.005390512842099142	0.18784041964685882	0.1598529400726888	0.15067810568448922	0.19886329808607647	0.19053015265972872	0.1631730445196222	1.0	0.6230447999515385	0.21168595936992002	0.05222649199443456	0.4665365651802163	0.32722637838135094	0.4665077152993022	0.4665077152993022			0.2221319815089409	0.22029897028671402	0.0015572242631155717	0.024091456970886858	0.0071408223565257445	0.046735863016177326	0.3143422437884329	0.37345335824093584	0.33694134861868175	0.35054240554776056	0.2159126571974236	0.24224656171894743	0.04399664293182347	0.2888470695765287
PRECISION_25_FREQ	0.11174744379050126	0.06402036440945132	0.11203055752002505	0.07677476046572498	0.04639174172619971	0.0031061413477247364	0.6703625648523422	0.512474807194675	0.2598388628554147	0.4544154002660517	0.13443434761859788	0.17173622365455823	0.37721356810152357	0.37721356810152357	0.1458918345010187	0.10570897170583468	0.04656125310494782	0.13559678431701694	0.5335462015918321	0.39186978311415666	0.46405774071022693	0.15135385777407473	0.14772558568327535	0.22721053022632848	0.10457833405983177	0.2395688733214365	0.2718759531814615	0.24792925338872765	0.33694134861868175	0.28949194864847966	0.20190076459235923	0.18761734362773078	0.4062438451441269	0.04022057906794038	0.4062456067215913	0.4062456067215913			0.23885786270781534	0.23374332939860865	0.05172828894143619	0.02545163963579014	0.06177179979006371	0.024293959821212765	0.9729220702273771	0.8611880874113205	1.0	0.8552853212513889	0.3020572896067348	0.769664226680363	0.13709084229960722	0.2603563657768727
PRECISION_50_FREQ	0.10090458212662615	0.07273875217872652	0.10790236056898635	0.1106374964191746	0.017475699084027446	0.008504550248047164	0.6902865977019291	0.5269574390335525	0.30304369965618744	0.47560920950390106	0.15292321905227169	0.161260109083835	0.3946820920459765	0.3946820920459765	0.16892849104775862	0.051103302960826304	0.014783367292969562	0.10564751905891867	0.5330804748494894	0.40267451019368455	0.44315764708953126	0.1505813245122523	0.1271794472492077	0.22956502405496715	0.09658473090955338	0.223529506393967	0.2699223035996606	0.2467979889833298	0.3143422437884329	0.30432490474028145	0.2149261673441676	0.2099048314958233	0.41519102582715045	0.04527346417655209	0.4151970693885882	0.4151970693885882			0.2569182356784764	0.2468205379315668	0.0557281383680387	0.021387147258477034	0.0599545676004812	0.02973651519113713	1.0	0.8869429270494951	0.9729220702273771	0.8723230934648778	0.31490931838066594	0.7967281069900737	0.1004757753967723	0.25516251602893303
ABS_LOG_LINK_DENSITY	0.40757715094586167	0.47688370839868616	0.40846646146584487	0.4437368854511696	0.4972210876541044	0.027211052026725368	0.0244929461266044	0.12537570133720252	0.47348166266596886	0.3997929376037894	0.25992285738421356	0.14489742932680877	0.03634110102837192	0.03634110102837192	0.5446201017990284	0.7365959214950639	0.6775778395332688	1.0	0.26799619166868854	0.19105288668207224	0.6659821849214047	0.07137807917195346	0.7793251562157001	0.14866161618819915	0.18073505038610155	0.643686818982294	0.4551018214723239	0.4763389567649183	0.34749851862069253	0.23479335147188635	0.393711459268336	0.4566348751817332	0.004964423365231915	0.29716133615095364	0.004965695044242935	0.004965695044242935			0.22342918514165028	0.2187506342362545	0.49376414865991375	0.4479160936227943	0.5040296750546562	0.371475192956945	0.10564751905891867	0.03287124767368343	0.13559678431701694	0.009559825313465707	0.16025048938116135	0.09352988644074105	0.16093534637962775	0.22532087389312005
ABS_EDGES_ONLY_IN_LOG_BTW_NORM	0.36820816362389414	0.3051285216083571	0.35827151338667995	0.07122396891083273	1.0	0.22736451333878438	0.040610262221761624	0.04193718891508973	0.37793489654152335	0.3823332851233661	0.25752574180886206	0.06570484264980411	0.01640951122356957	0.01640951122356957	0.3784741089956933	0.48605680763707493	0.45564968587032245	0.4972210876541044	0.08116295053497326	0.08430756765261747	0.2246734005093513	0.05289118620520527	0.4317112194233091	0.05267836445049673	0.1296154105381067	0.39030461524377585	0.2337695428156888	0.3165049978681007	0.12614817751424226	0.09484984818880017	0.19461676214063334	0.2260788008226815	0.02319150588860424	0.2591074385697571	0.023202053946216345	0.023202053946216345			0.30959905374759683	0.30474500074218697	0.34211350521107325	0.2752379156198003	0.36353048962360535	0.1685245854407731	0.017475699084027446	0.10147488911302681	0.04639174172619971	0.1045319590486634	0.24000011747274613	0.03932523718778384	0.14710625920807685	0.19131214009563852
PN_PERC_SILENT_TRANS	0.3065444750870548	0.36547877073002316	0.26495990691047466	0.12176395488749321	0.09484984818880017	0.141653803345261	0.5206230439374927	0.1389044431600855	0.28481244665715505	0.27729177853033005	0.018077857527036747	0.10389968956791465	0.07762060200082041	0.07762060200082041	0.2585302567474035	0.11399236971991394	0.2024111340720096	0.23479335147188635	0.2862847903122323	0.032114371377406914	0.09516074778487565	0.05796103356385248	0.2967210494824049	0.08865242330939947	0.03368059307733474	0.3045439835082098	0.2424382431931084	0.25246431891829646	0.6230447999515385	1.0	0.7545399667630449	0.5832459845241685	0.5678617656432111	0.01914753281285655	0.5678391479796434	0.5678391479796434			0.07660297278419187	0.08078241874081361	0.31587773852225287	0.3591732732264762	0.29160207905193214	0.3605216057641738	0.30432490474028145	0.40847260168062094	0.28949194864847966	0.38680064218246824	0.5797046717514437	0.27340585124349603	0.262395671648751	0.18665937949396447
ABS_MAX_DEGREE	0.5199227149375982	0.37346175182821884	0.5513740782049135	0.5286190319368494	0.37793489654152335	0.10250306629125616	0.4916993932770248	0.5515480686605695	1.0	0.8617012800290111	0.25656839958951766	0.1395312347608385	0.5882482061793061	0.5882482061793061	0.8584521901606638	0.7676152090355582	0.6895442429496444	0.47348166266596886	0.5207629461258998	0.4364748095735747	0.08848359122894861	0.034936276350410314	0.6589052536233908	0.008582495462092471	0.2622319661180109	0.34403178568880377	0.29208431221627673	0.3814059287787431	0.005650884207830589	0.28481244665715505	0.3271988767439874	0.3832552462258648	0.46924151051578267	0.008325504977815467	0.469249173181005	0.469249173181005			0.2948517122637662	0.30269889993360893	0.5044339315561178	0.554033169431719	0.49546241595164914	0.4634590050792064	0.30304369965618744	0.4717135328371273	0.2598388628554147	0.47530901908386236	0.24990123811796633	0.35811213084169397	0.30755976885863456	0.17752414943817474
PRECISION	0.08077603824571486	0.16292146601185595	0.11607602137496013	0.16508368734474885	0.03932523718778384	0.14435773403342678	0.7072711311895925	0.43365803951434806	0.35811213084169397	0.48967446356899424	0.11718279443480491	0.14926010028287853	0.3616018475912585	0.3616018475912585	0.28428418400734157	0.10148875587405365	0.15568155505916434	0.09352988644074105	0.4179470744140073	0.33029178488004723	0.3089234956353011	0.04659138321378397	0.11837060548312921	0.14388320728709247	0.026014927591838266	0.02017542107454975	0.0321215820328871	0.04841004386896575	0.24224656171894743	0.27340585124349603	0.3066937023481897	0.3057167659962458	0.4610711977944901	0.1258358505987861	0.4610742732290924	0.4610742732290924			0.12788272543867182	0.12189900737892348	0.019761724054173847	0.06862635917543518	0.04323421482059757	0.03458584410177584	0.7967281069900737	0.8714891166248776	0.769664226680363	0.8401143896434399	0.12438710698545107	1.0	0.3018094982152642	0.16934839011185873
LOG_PERC_UNIQUE_SEQS	0.5532424510817495	0.7353562313606016	0.5191610111079923	0.2538147519072325	0.39030461524377585	0.25987952315209695	0.12695862540443928	0.1904621546349311	0.34403178568880377	0.3108167480754024	0.05228287736365412	0.08552826134247321	0.151600202390706	0.151600202390706	0.3574287857422612	0.4998109613794974	0.46166031807176017	0.643686818982294	0.15120237932130287	0.2581502650976037	0.47106425137122093	0.4928453362130908	0.5914077597931495	0.5538025277266987	0.14555993780489623	1.0	0.7614722744941218	0.7626123559847638	0.19886329808607647	0.3045439835082098	0.5489734485844936	0.5635129777891253	0.21168319968727495	0.1663432091328766	0.2116805729431874	0.2116805729431874			0.0022170212667456763	0.016830165015040713	0.6161395924258588	0.534533767728815	0.6354557191129193	0.5068260623143138	0.223529506393967	0.08555143283256225	0.2395688733214365	0.06740834702831396	0.043037120069448674	0.02017542107454975	0.20119371459441535	0.1638155099560669
ABS_LOG_DEGREE_ENTROPY	0.4280020604012459	0.39647857247895735	0.46139272298749445	0.7246756567900704	0.45564968587032245	0.020510575722807265	0.18213997868952958	0.022004590946196462	0.6895442429496444	0.4644359852968604	0.4424715315052859	0.2815680768280091	0.13447303687517984	0.13447303687517984	0.8513820086002806	0.8539152340851869	1.0	0.6775778395332688	0.04834396045676784	0.080503902472721	0.3279198291173596	0.03514274458067842	0.8590717731329282	0.04216507240090828	0.27936258982535517	0.46166031807176017	0.34863510440453505	0.41180647720905406	0.23244180137031697	0.2024111340720096	0.2673039696776207	0.3138608962099367	0.07724802770829034	0.26499863400018203	0.0772478993449963	0.0772478993449963			0.2907751228765137	0.29356234454330926	0.3845960553127802	0.41716374736551864	0.3988839497360923	0.348379336963402	0.014783367292969562	0.12107125487304618	0.04656125310494782	0.12368970138772081	0.18849573895542826	0.15568155505916434	0.182177739495276	0.1582092457593306
DISCOVERY_ALG	0.07457387806113312	0.109761248924649	0.09364272272005827	0.1948483992161049	0.24000011747274613	0.08082574265587829	0.37612230724611206	0.18966927966732963	0.24990123811796633	0.2627080567982852	0.1430086649302671	0.03783039366187486	0.13173355355380106	0.13173355355380106	0.265132640251763	0.08536906458278345	0.18849573895542826	0.16025048938116135	0.27549267513718595	0.09112433079779682	0.07198910900257052	0.04698592601980006	0.1774912841790676	0.016759989896701397	0.140319301457663	0.043037120069448674	0.01170932190669841	0.0006799680346627276	0.2159126571974236	0.5797046717514437	0.48520206327761434	0.4736367329198186	0.1103370852648616	0.42480374119474457	0.11031745108814828	0.11031745108814828			0.5853549022048319	0.598634244707563	0.12438316097378121	0.18155239493626332	0.09547271538953728	0.20575366449776258	0.31490931838066594	0.34566712071107514	0.3020572896067348	0.3692916135194521	1.0	0.12438710698545107	0.2305702681792415	0.14849106749848112
LOG_EVENTS_TYPES	0.5110822205069948	0.5573083361376613	0.5320601619894989	0.5451719123657965	0.4317112194233091	0.1538709300646623	0.09804102627895109	0.03371126523572251	0.6589052536233908	0.4463856429212114	0.44344711829539085	0.3140319092761873	0.15820445199906566	0.15820445199906566	0.7947743006388992	0.8077962142265825	0.8590717731329282	0.7793251562157001	0.054935384020697475	0.03216185483154125	0.4335031080004028	0.16759841252284632	1.0	0.23097930062209768	0.09261084038717503	0.5914077597931495	0.4853753666290508	0.5481103072525335	0.18784041964685882	0.2967210494824049	0.36590100536174225	0.3828724658129756	0.12597612131143676	0.2338844202665508	0.12597881264848343	0.12597881264848343			0.23077151038552174	0.24261514842357412	0.5301400636214512	0.546582075377467	0.5433293377611905	0.49761506010876916	0.1271794472492077	0.03240567941800071	0.14772558568327535	0.03493243678523037	0.1774912841790676	0.11837060548312921	0.17013121513422433	0.13360916891362623
ABS_MAX_DEGREE_DIV	0.4632468647525776	0.3803456888169713	0.4837379102717917	0.3597212418635109	0.3823332851233661	0.17671329035021713	0.6049237099482614	0.6463810070269865	0.8617012800290111	1.0	0.111991352408225	0.023310034111987607	0.569742075410944	0.569742075410944	0.6698372870328155	0.5146078966376758	0.4644359852968604	0.3997929376037894	0.6451802456313673	0.47259667149320456	0.239831080025929	0.02224933748439331	0.4463856429212114	0.01504039843778728	0.20620776720930403	0.3108167480754024	0.21043612512478804	0.2883235204859032	0.03255864750462726	0.27729177853033005	0.3637339573514356	0.4254006934330586	0.5386874070910671	0.025267023989953372	0.538688304240186	0.538688304240186			0.30183210096115465	0.3095146284344507	0.475559189344609	0.4958040027471156	0.4636808891933526	0.4013141159772975	0.47560920950390106	0.6324039836592132	0.4544154002660517	0.6331637638642972	0.2627080567982852	0.48967446356899424	0.2517336510988919	0.1302999976258999
