	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_LOG_50_FREQ	PRECISION_LOG_50_RAND	PRECISION_LOG_25_FREQ	PRECISION_LOG_25_RAND	DISCOVERY_ALG	PRECISION	FITNESS
ABS_LOG_DEGREE_ENTROPY	0.48282677242053473	0.4525743673616757	0.517103095217905	0.5797147514483717	0.5062746691389787	0.18363127370755822	0.016010099385310964	0.141779729083339	0.6932424763261225	0.4777631360288818	0.14801832587062827	0.2678237762573475	0.5972151974263272	0.5972151974263272		0.8858423731153258	1.0	0.6740563868258856	0.2671683597313091	0.3334253823744441	0.5912522430753672	0.2798836955638443	0.36473981622942525	0.3955165223577166	0.0015064735662208063	0.37590452406748054	0.18236015105961453	0.8809343775457552	0.1847525828887423	0.05965328823553878	0.6089481091450162	0.5948435349606267	0.6340784609910175	0.4705781815470853	0.47412440945923273	0.4585292309677115	0.41773444649261765	0.20538513718841397	0.09683704158555427	0.18725973356670392	0.0853145249712686	0.19984666374968527	0.06372353075966322	0.42407872394729895
ABS_EDGES_ONLY_IN_MODEL_W	0.3734318122904107	0.2153962943963387	0.3827165052548885	0.0591603371099607	0.16588253353399693	0.15216025209903153	0.7190403245848579	1.0	0.4761144568861695	0.5910354347644523	0.26472090676884685	0.009119323989293637	0.6398050478509338	0.6398050478509338		0.00017594591775584397	0.141779729083339	0.2006421669018759	0.8344926948845316	0.9074981392881108	0.2297243032294694	0.1904114144872131	0.18485454115165573	0.25826707065668186	0.6144953214508709	0.2603381094630279	0.10681915821573437	0.04300594121423913	0.1452929746796724	0.09429345753872528	0.1543546381598017	0.2360889480338742	0.1552281022484132	0.34773491825788916	0.38137654770912394	0.32595163197580723	0.34594737249597846	0.6119539055984703	0.7383958166756656	0.6151669567474356	0.7132314322168632	0.16646748565514355	0.7703785246595635	0.3734044570226949
LOG_AVG_SEQS_LENGTH	0.35456650611626284	0.4162938954659511	0.3003643508429775	0.4173934396403747	0.3663869810373732	0.05888276037049822	0.019125299879232102	0.2360889480338742	0.3185421297719777	0.2759597557438205	0.19176898497420808	0.03362975946515108	0.2299563984555887	0.2299563984555887		0.4651291967005774	0.5948435349606267	0.4866497167446266	0.22199185156450169	0.3543678630979353	0.42780156824301774	0.25807819430175444	0.5179496899704092	0.5268755428063603	0.17865727239883117	0.08531459658610538	0.36788776877569274	0.4529381515023156	0.420853101845912	0.24220296421437873	0.7914846004624722	1.0	0.969053752358099	0.4190686646243953	0.3866311141201245	0.39520078379088736	0.3904570608540517	0.40726641450431145	0.22007941816626345	0.3859374053830933	0.22516093437857299	0.011045875913386407	0.1693997500017921	0.3598875939547216
ABS_EDGES_ONLY_IN_LOG_BTW_NORM	0.38087491107330446	0.3609775875221415	0.38827330972046514	0.03981651749982214	1.0	0.0784485284929973	0.2083805584811819	0.16588253353399693	0.3536269742034667	0.2512963529259281	0.023730877798253964	0.00882143646524778	0.24538651602764103	0.24538651602764103		0.5827522188653941	0.5062746691389787	0.546209098531209	0.3722126881601184	0.25341959058639274	0.4361888548355259	0.33679207593175714	0.23343774030695966	0.2991975442035082	0.10092914545778024	0.24611042792018722	0.03610906326870881	0.5102836534864699	0.09219311895875404	0.11929459332231074	0.5299087841884387	0.3663869810373732	0.4038795780972876	0.40888803337394075	0.33152384625627446	0.41470137243608324	0.22955246083784198	0.2127085622360855	0.17325984549095777	0.2327535355578622	0.21261172205312695	0.06132614604322844	0.1175111153357285	0.356333903206656
ABS_MODEL_LINK_DENSITY	0.3154457974476821	0.3692187392915211	0.2660244924443114	0.4735441313864502	0.4361888548355259	0.044656896394479985	0.14692386348499878	0.2297243032294694	0.27729020005739413	0.12043330432725768	0.0879875759594599	0.02621993053046974	0.2589061143180238	0.2589061143180238		0.501484341748792	0.5912522430753672	0.8321704561421135	0.354814696543772	0.3464455644037943	1.0	0.16752407273484024	0.5949381692296553	0.6007802102579354	0.005903229635400348	0.38254893399426726	0.08778402087395183	0.5996627037240889	0.2344409188471242	0.10312235913351306	0.4902329031981097	0.42780156824301774	0.4460341097350628	0.3514578461756802	0.3824850249920624	0.33539105076205844	0.4050305921037984	0.16181141085455206	0.14749049676126313	0.18083086729879227	0.13970277065506967	0.39206537706234157	0.11498549134443918	0.3534687849506086
LOG_EVENTS	0.28442228738934827	0.41483582574352945	0.30388430994321564	0.3041919345952304	0.03610906326870881	0.1591740645238951	0.03851472366192788	0.10681915821573437	0.1024913551911872	0.12102002350708624	0.020571162970580058	0.048488240761293176	0.054985016182957806	0.054985016182957806		0.18692954561576838	0.18236015105961453	0.06154322593104323	0.1413466567536769	0.15282362002575176	0.08778402087395183	0.12075064481316072	0.26577208370171423	0.25161258132493697	0.07009720770580376	0.17317885118994245	1.0	0.21686741530953682	0.8390599090726525	0.4829771519525505	0.5500533927253393	0.36788776877569274	0.38914071803245254	0.3684517937495579	0.25375641784878306	0.38569883953354306	0.2817693333604536	0.17635095227348638	0.09814113940464546	0.16377235131472972	0.09908840508229445	0.07782290365886126	0.09270353896988696	0.31192749345308685
LOG_SEQS	0.2539672303050559	0.3864424632307588	0.2601324913747431	0.30649779475911165	0.09219311895875404	0.25075242417121013	0.034520196950140566	0.1452929746796724	0.09898526457923741	0.06532592547993074	0.17322228384266716	0.12370743745389201	0.04533560074791224	0.04533560074791224		0.18344709428104677	0.1847525828887423	0.1806632051220254	0.13476789951758625	0.16782879451047722	0.2344409188471242	0.20637855081557527	0.27952576757373454	0.3024304698042587	0.026779928224159037	0.16558049066113495	0.8390599090726525	0.24819319363316494	1.0	0.31431058289561575	0.5632097603598606	0.420853101845912	0.426253242654122	0.32783589507882954	0.2914594421447751	0.3321568317106744	0.39097806516740075	0.24269129087753444	0.1971151958445877	0.2311056569651626	0.18745348277865367	0.0173225160023456	0.1756820115931974	0.29694678961206933
ABS_EDGES_ONLY_IN_LOG_BTW	0.3163046915351277	0.4012219762429797	0.3348079651542421	1.0	0.03981651749982214	0.13250982482296345	0.09623316841697356	0.0591603371099607	0.4972103227299025	0.4186946237142449	0.12256263268141304	0.09512816509544003	0.46659356496552895	0.46659356496552895		0.5217795816146646	0.5797147514483717	0.41514499321603204	0.0023454676348282377	0.08212496192731496	0.4735441313864502	0.1793060002796791	0.4173509404254179	0.42982135203655863	0.040677523444687835	0.2905296618458644	0.3041919345952304	0.6012833188008315	0.30649779475911165	0.13285102664817738	0.40896398231571	0.4173934396403747	0.48568660904632754	0.31516268508736384	0.31068356241813877	0.29751367999678746	0.2738535685413013	0.12206161150352839	0.008053055655898823	0.06965795136914234	0.04430012129239889	0.20231123706159926	0.02611560506468328	0.2948169406786743
ABS_EDGES_ONLY_IN_MODEL	0.2556145304906567	0.16921291571718058	0.2516539587524047	0.09623316841697356	0.2083805584811819	0.15442186714767753	1.0	0.7190403245848579	0.42750092019600927	0.5984041495894956	0.08363656427698535	0.08528412623551818	0.46165671109815976	0.46165671109815976		0.011692334406516972	0.016010099385310964	0.20551312502937183	0.7429028824701249	0.53636228605747	0.14692386348499878	0.37723581473136536	0.42527711027470533	0.43048214393941053	0.6980855084155242	0.11243965027220836	0.03851472366192788	0.012505942143023259	0.034520196950140566	0.12729532418035774	0.034531106823309454	0.019125299879232102	0.0722553172758735	0.2636767733127027	0.30949647756091025	0.22639810900481108	0.2835626248467182	0.7038943352646372	0.8607058972866685	0.7214665381246608	0.8573256648447009	0.34007316737932514	0.8509776276230575	0.2747575302294368
ABS_MODEL_DEGREE_ENTROPY	0.23336162799675145	0.11450612394068932	0.25685279989394255	0.08212496192731496	0.25341959058639274	0.16242485224724706	0.53636228605747	0.9074981392881108	0.31873315629477855	0.37220828493239216	0.19205963468122164	0.0652105484228517	0.5433594365260407	0.5433594365260407		0.1758885883354805	0.3334253823744441	0.27955569422526494	0.8427709742741704	1.0	0.3464455644037943	0.14428691611569733	0.0015633721141703053	0.08589169722618555	0.5200975364859619	0.3480706690522502	0.15282362002575176	0.09083237273999341	0.16782879451047722	0.032909418390990146	0.30212739707122016	0.3543678630979353	0.3035118273609892	0.21045949803081618	0.25158463762650807	0.19493729017251962	0.23639388815551235	0.46938879386406007	0.5479474420886009	0.4715463310765775	0.5287330051649686	0.037546747445198536	0.5811326350225617	0.23783832160606005
PRECISION	0.2008462103651985	0.06546381567541237	0.19880094864581804	0.02611560506468328	0.1175111153357285	0.1495852575355285	0.8509776276230575	0.7703785246595635	0.3891105752172895	0.5361714571490831	0.21541675466550367	0.021627979436020746	0.42996005434070994	0.42996005434070994		0.006567810791674986	0.06372353075966322	0.22761773182406975	0.6775406769246253	0.5811326350225617	0.11498549134443918	0.38900557610503667	0.39379273973301354	0.3956180023778356	0.5803831781457054	0.07080263143716467	0.09270353896988696	0.028060755378449743	0.1756820115931974	0.11456982987486046	0.14620200265533606	0.1693997500017921	0.11142568363851274	0.20488834495650698	0.2314371350029577	0.17889375121964382	0.18849505963685736	0.8745145463727462	0.9670585244024607	0.8714391058497237	0.926350935132208	0.36634071124040013	1.0	0.23765902763364968
