Justiça	Tribunal	UF	Tipo de unidade	Classificação da unidade	case:court:code	Unidade Judiciária	Município sede	Estoque	Taxa de congestionamento líquida	Taxa de congestionamento total
Justiça Estadual	TJSP	SP	-	-	75500	VARA ÚNICA DE ITARIRI	ITARIRI	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74565	2 VARA CUMULATIVA DE CAIEIRAS	CAIEIRAS	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74564	1 VARA CUMULATIVA DE CAIEIRAS	CAIEIRAS	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74068	2ª VARA CUMULATIVA DE BERTIOGA	BERTIOGA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	73023	JUIZADO ESPECIAL CIVEL DE CAMPO LIMPO PAULISTA	CAMPO LIMPO PAULISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	73022	02 CUMULATIVA DE CAMPO LIMPO PAULISTA	CAMPO LIMPO PAULISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	73021	01 CUMULATIVA DE CAMPO LIMPO PAULISTA	CAMPO LIMPO PAULISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74067	1ª VARA CUMULATIVA DE BERTIOGA	BERTIOGA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74593	VARA JUDICIAL DE BASTOS	BASTOS	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75512	VARA ÚNICA DE RIO GRANDE DA SERRA	RIO GRANDE DA SERRA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75513	JUIZADO ESPECIAL CIVEL DE RIO GRANDE DA SERRA	RIO GRANDE DA SERRA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70720	VARA CRIMINAL DE SANTA CRUZ DO RIO PARDO	SANTA CRUZ DO RIO PARDO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70707	02 VARA CIVEL DE SAO JOAO DA BOA VISTA	SAO JOAO DA BOA VISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70706	01 VARA CIVEL DE SAO JOAO DA BOA VISTA	SAO JOAO DA BOA VISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70712	TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 50ª C. J.	SAO JOAO DA BOA VISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	72906	SERVIÇO ANEXO DAS FAZENDAS DE SAO JOAO DA BOA VISTA	SAO JOAO DA BOA VISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70711	VARA CRIMINAL DE SAO JOAO DA BOA VISTA	SAO JOAO DA BOA VISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70708	03 VARA CIVEL DE SAO JOAO DA BOA VISTA	SAO JOAO DA BOA VISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70709	VARA DO JUIZADO ESPECIAL CIVEL E CRIMINAL DE SAO JOAO DA BOA VISTA	SAO JOAO DA BOA VISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70710	VARA DO JUIZADO ESPECIAL CIVEL E CRIMINAL - ANEXO FEOB	SAO JOAO DA BOA VISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74594	VARA ÚNICA DE NEVES PAULISTA	NEVES PAULISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75510	JUIZADO ESPECIAL CIVEL E CRIMINAL DE RIO DAS PEDRAS	RIO DAS PEDRAS	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75507	JUIZADO ESPECIAL CIVEL E CRIMINAL DE MACAUBAL	MACAUBAL	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75506	VARA ÚNICA DE MACAUBAL	MACAUBAL	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75509	VARA ÚNICA DE RIO DAS PEDRAS	RIO DAS PEDRAS	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74649	VARA ÚNICA DE PIQUETE	PIQUETE	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74590	VARA JUDICIAL DE PINHALZINHO	PINHALZINHO	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75517	VARA ÚNICA DE VARGEM GRANDE PAULISTA	VARGEM GRANDE PAULISTA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	74429	VARA UNICA DA COMARCA DE TABAPUA	TABAPUA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	75515	VARA ÚNICA DE SALTO DE PIRAPORA	SALTO DE PIRAPORA	0	0.0	0.5354
Justiça Estadual	TJSP	SP	-	-	70690	VARA ÚNICA DE VIRADOURO	VIRADOURO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	78457	GABINETE DE TRABALHO - GILDA CERQUEIRA ALVES BARBOSA AMARAL DIODATTI	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	78572	GABINETE DE TRABALHO - ROBERTO TEIXEIRA PINTO PORTO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	77984	GABINETE DE TRABALHO - SULAIMAN MIGUEL NETO	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	78459	GABINETE DE TRABALHO - PAOLA CHRISTINA CALABRO LORENA DE OLIVEIRA	SAO PAULO	0	0.0	0.0
Justiça Estadual	TJSP	SP	-	-	80899	ANEXO DE VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A  MULHER DA COMARCA DE SANTO ANDRÉ	SANTO ANDRE	0	0.0	0.0
