EVENT_LOG	DISCOVERY_ALG	PRECISION	FITNESS	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	TIME_MARKOV	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	ALIGNMENTS_MARKOV_2_K1	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	IMd	0.1731	0.9988	0.9969	0.998	0.9961	75.0	0.0563	0.0	0.0583	-6.1523	6	2.5	0.0865	1.4325	-519.5933	-519.5933	1	4	-107.8645	0.0495	10	-627.4578	0.0843	2583	12	232	33	14.2241	11.1336	3.2226	624.7064	0.5792	1843.844	0.7996	5	0.3333	10	6	5.0	11	2.5	2.5	1.0	1.0	1.0	1.0	9	9	1	1	1	1	0.0557	0.9966	0.8824	0.4118	0.3297	0.094	0.713	0.942	0.9988	0.9999	0.997	0.9999	0.9989	0.1488	0.1582	0.1423	0.1495
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE	ETM	0.8923	0.9615	0.9686	0.9859	0.9521	145.0	0.1089	0.0036	0.9583	0.9616	-2	0.5	0.3	2.5	72.213	72.213	1	4	-107.8645	0.0495	2	-35.6515	0.1143	2583	12	232	33	14.2241	11.1336	3.2226	624.7064	0.5792	1843.844	0.7996	7	0.35	13	15	2.6667	4	1.3333	1.3333	1.0	1.0	1.0	1.0	3	2	1	1	1	1	0.0065	0.9775	0.3529	1.0	1.0	0.9685	0.5946	0.6567	0.9616	0.972	0.9413	0.9805	0.96	0.8644	0.8641	0.8388	0.7658
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.7168	0.5251	0.3879	0.8928	0.4432	418.0	0.0042	0.0006	0.7478	0.858	-23	0.1786	0.0	1.0	1467.3766	1467.3766	1	28	-1547.5574	0.0101	5	-80.1808	0.1159	8527	46	47	47	100.0	181.4255	190.9759	29917.5413	0.3976	76839.45	0.9955	30	0.8108	7	26	2.9231	4	1.4615	1.4615	1.0	1.0	1.0333	1.0333	2	2	1	1	2	2	0.1751	0.6156	0.0754	0.9936	0.9583	0.8011	0.906	0.9172	0.6789	0.5126	0.5101	0.5087	0.5036	0.3424	0.5056	0.3534	0.2667
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	0.0633	0.95	0.8837	0.9559	0.8441	631.0	0.0063	0.0001	0.0825	-6.9514	-8	0.7143	-0.2304	0.5392	-1694.956	-1694.956	1	28	-1547.5574	0.0101	20	-3242.5134	0.0478	8527	46	47	47	100.0	181.4255	190.9759	29917.5413	0.3976	76839.45	0.9955	27	0.587	19	22	4.2727	12	2.1364	2.1364	1.0	1.0	1.037	1.037	10	10	1	1	2	2	70.4915	0.8912	0.5311	0.8008	0.4488	0.2116	0.6844	0.9214		0.9239	0.9352	0.9163	0.949	0.0574	0.0599	0.0551	0.0582
BPI_Challenge_2014_Control summary	IMf	0.9391	0.8945	0.7538	0.9999	0.7394	17.0	0.0556	0.0	0.9048	0.9542	-2	0.6	0.0	1.0	15.7095	15.7095	1	5	-33.2193	0.1176	3	-17.5098	0.1591	161296	7	43808	59	0.1347	3.6819	1.1525	224.7354	0.4119	3047.9948	0.58	8	0.5714	6	11	2.5455	3	1.2727	1.2727	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0055	0.9998	0.6667	1.0	1.0	0.938	0.3333	0.5	0.8945	0.9034	0.8983	0.9023	0.9998	0.9085	0.9394	0.9168	0.9328
BPI_Challenge_2014_Control summary	IMd	0.8442	0.8963	0.7579	1.0	0.7444	17.0	0.0556	0.0	0.4384	0.7708	0	1.0	-0.1667	0.6666	-23.7164	-23.7164	1	5	-33.2193	0.1176	5	-56.9357	0.1443	161296	7	43808	59	0.1347	3.6819	1.1525	224.7354	0.4119	3047.9948	0.58	3	0.3	7	7	2.8571	5	1.4286	1.4286	1.0	1.0	1.0	1.0	3	3	1	1	1	1	0.007	0.9999	0.9167	0.9152	0.6471	0.775	0.36	0.5844	0.8963	0.9052	0.8923	0.9042	0.9994	0.7292	0.8645	0.7454	0.4622
BPI_Challenge_2014_Control summary	ETM	0.6471	0.9975	0.9942	0.9999	0.9934	41.0	0.134	0.0002	0.6071	0.5771	-1	0.8	-0.2667	0.4666	7.7095	7.7095	1	5	-33.2193	0.1176	4	-25.5098	0.1538	161296	7	43808	59	0.1347	3.6819	1.1525	224.7354	0.4119	3047.9948	0.58	10	0.625	6	13	3.6923	11	1.8462	1.8462	1.0	1.0	1.8	1.8	6	5	1	1	3	3	0.0076	0.9931	0.5	0.6578	0.6667	0.6199	0.4762	0.6383	0.9975	0.9973	0.9905	0.9975	0.9993	0.6466	0.7215	0.6441	0.7006
BPI_Challenge_2014_Department control parcels	IMf	0.9914	0.7241	0.5029	0.9996	0.5336	115.0	0.1917	0.0	1.0	1.0	-2	0.6	0.0	1.0	40.5293	40.5293	1	5	-48.5293	0.1	3	-8.0	0.2639	46669	6	29297	349	1.1912	1.593	1.0469	4276.4	0.682	17748.7984	0.6497	6	0.6667	3	7	2.5714	4	1.2857	1.2857	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0031	0.9655	0.2632	1.0	1.0	1.0	0.64	0.6833	0.7241	0.7627	0.7465	0.7602	0.6894	0.9952	0.9927	0.996	0.9938
BPI_Challenge_2014_Department control parcels	IMd	0.9646	0.9999	0.9998	0.9998	0.9995	115.0	0.1917	0.0	0.7544	0.9962	-1	0.8	0.0	1.0	-4.0	-4.0	1	5	-48.5293	0.1	4	-52.5293	0.1863	46669	6	29297	349	1.1912	1.593	1.0469	4276.4	0.682	17748.7984	0.6497	12	0.75	4	10	3.2	5	1.6	1.6	1.0	1.0	1.0	1.0	3	3	1	1	1	1	0.0071	0.9984	0.6316	1.0	1.0	0.9053	0.3462	0.4189	0.9999	0.9997	0.9998	0.9997	0.9998	0.9642	0.9585	0.97	0.9763
BPI_Challenge_2014_Department control parcels	ETM	0.4675	0.9928	0.9968	0.9997	0.9942	115.0	0.1917	0.0	0.7143	0.4191	0	1.0	0.0	1.0	21.5097	21.5097	1	5	-48.5293	0.1	5	-27.0196	0.1544	46669	6	29297	349	1.1912	1.593	1.0469	4276.4	0.682	17748.7984	0.6497	6	0.5455	5	9	2.6667	4	1.3333	1.3333	1.0	1.0	1.1667	1.1667	3	2	1	1	2	2	0.0072	0.9914	0.4737	0.8146	0.9	0.7233	0.5	0.5833	0.9928	0.9896	0.9701	0.99	0.9456	0.4563	0.7828	0.4498	0.7602
