case:concept:name	CLUS_KME	CLUS_AGG	CLUS_ACT
1030_TRT20	0.8684	0.5882	0.4167
1031_TRT14	0.5526	0.4706	0.5
1031_TRT15	0.5263	0.1765	0.3333
1031_TRT20	0.8684	0.5882	0.9167
1031_TRT21	0.7105	0.8235	0.9167
1032_TRT12	0.3947	0.6471	0.4167
1032_TRT20	0.8684	0.5882	0.25
1032_TRT21	0.7105	0.5882	0.9167
1033_TRT11	0.3947	0.4706	0.4167
1033_TRT15	0.3684	0.3529	0.0833
1033_TRT20	0.8684	0.5882	0.25
1033_TRT21	0.7105	0.5882	0.0833
1033_TRT8	0.8158	0.7059	0.25
1034_TRT20	0.8684	0.5882	0.9167
1034_TRT21	0.5263	0.8235	0.9167
1034_TRT22	0.2895	0.7059	0.9167
1035_TRT15	0.0	0.1765	0.0833
1035_TRT21	0.5263	0.8235	0.0833
1035_TRT7	0.1053	0.2941	0.9167
1036_TRT11	0.1316	0.2941	0.3333
1036_TRT15	0.1842	0.3529	0.0833
1036_TRT21	0.5263	0.8235	0.0833
1037_TRT14	0.5526	0.4706	0.0833
1038_TRT11	0.1316	0.1765	0.0
1038_TRT15	0.1842	0.3529	0.0833
1038_TRT21	0.7105	0.5882	0.4167
1038_TRT4	0.7895	0.7647	0.1667
1038_TRT7	0.6316	0.7059	0.25
1038_TRT8	0.6316	0.7059	0.25
1039_TRT15	0.0263	0.1765	0.5
1039_TRT4	0.4211	0.7647	0.5
103_TRT14	0.1053	0.4706	0.1667
103_TRT18	0.1053	0.2353	0.5
103_TRT22	0.2895	0.7059	0.9167
103_TRT3	0.5526	0.5882	0.0833
1040_TRT11	0.5526	0.4706	0.0833
1040_TRT12	0.8421	0.8824	1.0
1040_TRT15	0.0	0.0588	0.25
1040_TRT18	0.1053	0.2353	0.5833
1040_TRT20	0.6316	0.5882	0.25
1040_TRT21	0.7105	0.5882	0.5
1040_TRT4	0.4211	0.7647	0.8333
1040_TRT7	0.1053	0.2941	0.9167
1040_TRT8	0.6316	0.7059	0.25
1041_TRT1	0.1316	0.2941	0.1667
1041_TRT18	0.1053	0.1176	0.5
1041_TRT20	0.8684	0.5882	0.1667
10427_TRT18	0.1053	0.2353	0.9167
10428_TRT18	0.3158	0.5882	0.4167
1042_TRT14	0.1316	0.0	0.1667
1042_TRT15	0.1316	0.2941	0.5
1042_TRT20	0.6316	0.5882	0.25
1042_TRT22	0.1316	0.7059	0.9167
