EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.0555	0.9998	0.4	0.5	18	IMd
edited_hh104_labour.xes.gz	0.0636	0.9999	0.4	0.6	25	IMd
Sepsis Cases - Event Log.xes.gz	0.3733	0.8477	0.4	0.5	476	IMd
ElectronicInvoicingENG.xes.gz	0.945	0.9352	-1	-1	20135	ETM
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.9659	0.5713	-1	-1	28	ETM
edited_hh104_weekends.xes.gz	0.98	0.6019	-1	-1	18	ETM
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	0.9956	0.5635	-1	-1	131	ETM
BPI_Challenge_2020_InternationalDeclarations.xes.gz	0.6348	0.8511	-1	-1	6449	ETM
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	0.9877	0.5469	-1	-1	35	ETM
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	0.9672	0.6063	-1	-1	25	ETM
Hospital Billing - Event Log.xes.gz	0.5305	0.9322	-1	-1	100000	ETM
DocumentProcessingENG.xes.gz	0.9085	0.8905	-1	-1	18352	ETM
BPI_Challenge_2019_log_IEEE.xes.gz	0.9831	0.7561	-1	-1	251734	ETM
BPI_Challenge_2014_Reference alignment.xes.gz	0.62	0.9762	-1	-1	43802	ETM
BPI_Challenge_2020_PermitLog.xes.gz	0.8139	0.7418	-1	-1	7065	ETM
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	0.6796	0.9142	-1	-1	2099	ETM
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	0.9136	0.7809	-1	-1	513	ETM
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	0.9656	0.5378	-1	-1	229	ETM
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	0.8301	0.4672	-1	-1	43	ETM
BPI_Challenge_2014_Inspection.xes.gz	0.9975	-1	-1	-1	5485	ETM
BPI_Challenge_2014_Geo parcel document.xes.gz	0.6923	0.821	-1	-1	29059	ETM
4a_VARA_CIVEL_-_TJGO.xes	0.8239	0.9257	-1	-1	339	ETM
BPI_Challenge_2014_Department control parcels.xes.gz	0.4675	0.9889	-1	-1	29297	ETM
BPI_Challenge_2014_Entitlement application.xes.gz	0.8283	0.9246	-1	-1	15260	ETM
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	0.9775	0.6096	-1	-1	116	ETM
BPI_Challenge_2014_Control summary.xes.gz	0.6471	0.9972	-1	-1	43808	ETM
5a_VARA_CIVEL_-_TJMT.xes	0.963	0.4877	-1	-1	29	ETM
Road_Traffic_Fine_Management_Process.xes.gz	0.8264	0.8706	-1	-1	150370	ETM
BPI Challenge 2017.xes.gz	0.9033	-1	-1	-1	31509	ETM
BPI_Challenge_2020_DomesticDeclarations.xes.gz	0.7056	0.9663	-1	-1	10500	ETM
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.8603	-1	-1	-1	206	ETM
activitylog_uci_detailed_weekends.xes.gz	0.9773	0.6447	-1	-1	10	ETM
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.8923	0.9584	-1	-1	232	ETM
activitylog_uci_detailed_labour.xes.gz	0.9905	0.6019	-1	-1	25	ETM
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.8311	0.5128	-1	-1	36	ETM
Sepsis Cases - Event Log.xes.gz	0.8582	0.7753	-1	-1	1050	ETM
