EVENT_LOG	DISCOVERY_ALG	PRECISION	FITNESS	ALIGNMENTS_MARKOV	ABS_EDGES_ONLY_IN_LOG	ABS_EDGES_ONLY_IN_LOG_W	ABS_EDGES_ONLY_IN_LOG_BTW	ABS_EDGES_ONLY_IN_LOG_BTW_NORM	ABS_EDGES_ONLY_IN_LOG_CC	ABS_EDGES_ONLY_IN_MODEL	ABS_EDGES_ONLY_IN_MODEL_W	ABS_MAX_DEGREE	ABS_MAX_DEGREE_DIV	ABS_MAX_CLUSTER	ABS_MAX_CLUSTER_DIV	ABS_DEGREE_ENTROPY	ABS_DEGREE_ENTROPY_DIV	ABS_LINK_DENSITY_DIV	ABS_LOG_MAX_DEGREE	ABS_LOG_DEGREE_ENTROPY	ABS_LOG_LINK_DENSITY	ABS_MODEL_MAX_DEGREE	ABS_MODEL_DEGREE_ENTROPY	ABS_MODEL_LINK_DENSITY	ABS_MEAN_DEGREE	ABS_MEAN_DEGREE_DIV	ABS_NODE_LINK_RATIO	ABS_NODE_LINK_RATIO_DIV	ABS_LINK_DENSITY	ABS_MEAN_CLUST	ABS_MEAN_CLUST_DIV	ABS_MAX_BTW	ABS_MAX_BTW_DIV	ABS_MEAN_BTW	ABS_MEAN_BTW_DIV	ABS_BTW_ENTROPY	ABS_BTW_ENTROPY_DIV	ABS_BTW_ENTROPY_NORM	ABS_BTW_ENTROPY_NORM_DIV	ABS_DFT_ENTROPY	ABS_DFT_ENTROPY_DIV	ABS_CC_ENTROPY	ABS_CC_ENTROPY_DIV	ABS_CC_ENTROPY_NORM	ABS_DEGREE_ASSORT	ABS_DEGREE_ASSORT_DIV	LOG_EVENTS	LOG_EVENTS_TYPES	LOG_SEQS	LOG_UNIQUE_SEQS	LOG_PERC_UNIQUE_SEQS	LOG_AVG_SEQS_LENGTH	LOG_AVG_EDIT_DIST	variant_entropy	variant_entropy_norm	sequence_entropy	sequence_entropy_norm	PN_SILENT_TRANS	PN_PERC_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_IN_ARCS_MEAN	PN_OUT_ARCS_MEAN	PN_IN_ARCS_TRAN_MEAN	PN_OUT_ARCS_TRAN_MEAN	PN_IN_ARCS_INV_TRAN_MEAN	PN_OUT_ARCS_INV_TRAN_MEAN	PN_IN_ARCS_MAX	PN_OUT_ARCS_MAX	PN_IN_ARCS_TRAN_MAX	PN_OUT_ARCS_TRAN_MAX	PN_IN_ARCS_INV_TRAN_MAX	PN_OUT_ARCS_INV_TRAN_MAX	TIME_MARKOV	FOOTPRINT_COST_FIT_W	FOOTPRINT_COST_FIT	FOOTPRINT_COST_PRE_W	FOOTPRINT_COST_PRE	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	ALIGNMENTS_MARKOV_2_K1	ALIGNMENTS_MARKOV_1_K1	ALIGNMENTS_MARKOV_3_K1	FITNESS_50_FREQ	FITNESS_50_RAND	FITNESS_25_FREQ	FITNESS_25_RAND	PRECISION_50_FREQ	PRECISION_50_RAND	PRECISION_25_FREQ	PRECISION_25_RAND	ABS_LOG_NODE_LINK_RATIO	ABS_LOG_MAX_CLUST_COEF	ABS_LOG_MEAN_CLUST_COEF	ABS_LOG_MAX_BTW	ABS_LOG_MEAN_BTW	ABS_LOG_BTW_ENTROPY	ABS_LOG_BTW_ENTROPY_NORM	ABS_LOG_DFT_ENTROPY	ABS_LOG_CC_ENTROPY	ABS_LOG_CC_ENTROPY_NORM	ABS_LOG_DEGREE_ASSORT	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
DocumentProcessingENG	ETM	0.9085	0.8573	0.896	1.0	0.983	16.0	0.1455	0.0	0.9524	0.9034	0	1.0	0.5	-1.0	0.0	0.0	1.0	3	-18.3645	0.1909	3	-18.3645	0.1909	0.0	1.0	0.0	1.0	0.0	0.0758	-1.0	-0.0556	0.8999	0.0303	1.0728	-8.0	1.4444	-8.0	1.4444	0.2275	1.1196	0	-1	0	0.0931	1.2676	262682	10	18352	3	0.0163	14.3135	6.0295	18.2042	0.2149	133.2317	0.8487	4	0.1818	18	20	2.2	3	1.1	1.1	1.0	1.0	1.0	1.0	2	2	1	1	1	1	0.0091	0.9805	0.9474	0.9653	0.9474	0.9675	0.0	0.0909	0.8573	0.896	0.8573	1.0	1.0	1.0	0.5	0.8889	0.8889	0.8889	0.8889	0.5238	0.0	0.0	0.5556	0.4162	-18.0	-18.0	-11177035.6086	0	0	0.3479	0.37	0.8573
edited_hh110_labour	IMf	0.256	0.7628	0.7797	0.9575	0.7279	1.5	0.0049	0.0244	0.8958	0.46	-5	0.5833	0.0053	1.0059	5.5098	5.5098	1.9807	12	-15.5098	0.3366	7	-10.0	0.6667	-0.3889	0.932	0.0127	1.0727	0.3301	0.1715	1.3346	0.0085	1.038	0.0399	1.5938	-8.0	2.1843	-6.0	2.1843	-0.9949	0.6656	0	-1	0	0.2698	-5.3482	1390	17	21	21	100.0	66.1905	37.5714	3336.9214	0.4252	9389.9241	0.9334	29	0.7838	8	27	2.963	4	1.4815	1.4815	1.0	1.0	1.1034	1.1034	2	2	1	1	3	3	3.5426	0.7064	0.3861	0.9204	0.907	0.9109	0.5	0.6019	0.7628	0.7797	0.6233	0.778	0.7637	0.7748	0.7229	0.2857	0.2019	0.2857	0.2857	0.1748	0.8947	0.5125	0.2236	0.0672	-6.7549	-8.7549	-41946.4926	0	0	-0.0425	0.44	0.7628
edited_hh110_labour	IMd	0.0763	0.9981	0.9981	0.9972	0.9972	28.5	0.0931	0.0134	0.396	-6.2941	4	1.3333	0.1053	1.1177	-21.0195	-21.0195	2.7305	12	-15.5098	0.3366	16	-36.5293	0.9191	8.9837	2.57	-0.1068	0.389	0.5825	0.4089	1.7979	-0.1028	0.5403	-0.0576	0.1429	-34.5293	6.1117	-55.2451	6.1117	-0.7709	0.7409	0	-1	0	-0.0145	1.3412	1390	17	21	21	100.0	66.1905	37.5714	3336.9214	0.4252	9389.9241	0.9334	34	0.68	16	26	3.8462	11	1.9231	1.9231	1.0	1.0	1.0	1.0	9	9	1	1	1	1	7.8306	0.9971	0.9604	0.5753	0.4369	0.5125	0.0556	0.6102				0.9983	0.9982	0.9964	0.9998	0.0734	0.0745	0.0718	0.0708	0.1748	0.8947	0.5125	0.2236	0.0672	-6.7549	-8.7549	-41946.4926	0	0	-0.0425	0.36	0.9981
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMf	0.1315	0.9369	0.936	0.9625	0.9042	47.5667	0.045	0.0147	0.5622	-1.5308	-8	0.6522	-0.1553	0.8447	20.7549	20.7549	3.2245	23	-34.2647	0.1875	15	-13.5098	0.6046	4.2778	1.713	-0.0694	0.5837	0.4171	0.1291	1.2102	-0.1869	0.5109	-0.0027	0.9229	-17.5678	1.894	19.2842	1.894	-0.9467	0.7537	0	-1	0	0.3684	-0.0171	2476	32	28	28	100.0	88.4286	72.6138	7708.5005	0.4131	19214.899	0.9917	29	0.6304	17	27	3.4815	9	1.7407	1.7407	1.0	1.0	1.0345	1.0345	7	4	1	1	2	2	0.8679	0.9089	0.526	0.7326	0.5976	0.6838	0.4545	0.6272				0.9442	0.9406	0.9671	0.946	0.0	0.1343	0.0	0.1215	0.1667	1.0	0.6143	0.3821	0.035	-19.6515	-58.5035	-293679.8496	0	0	-0.3622	0.94	0.9362
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	IMd	0.0752	0.9291	0.9291	0.9732	0.9113	47.5667	0.045	0.0147	0.3922	-5.9253	-3	0.8696	-0.1099	0.8901	-21.0383	-21.0383	4.2411	23	-34.2647	0.1875	20	-55.303	0.7952	9.9048	2.6508	-0.1038	0.3773	0.6077	0.241	1.3923	-0.2058	0.4614	-0.0195	0.4429	-54.5903	3.7779	-15.7383	3.7779	-0.8742	0.7726	0	-1	0	0.3061	0.1549	2476	32	28	28	100.0	88.4286	72.6138	7708.5005	0.4131	19214.899	0.9917	18	0.4737	20	15	5.0667	15	2.5333	2.5333	1.0	1.0	1.0	1.0	13	13	1	1	1	1	0.1749	0.9163	0.6667	0.5894	0.3879	0.5906	0.3636	0.6733				0.9334	0.9243	0.9449	0.9372	0.0	0.0755	0.0	0.0685	0.1667	1.0	0.6143	0.3821	0.035	-19.6515	-58.5035	-293679.8496	0	0	-0.3622	0.78	0.9291
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG	ETM	0.9659	0.5636	0.842	0.9365	0.7528	47.5667	0.045	0.0147	1.0	1.0	-17	0.2609	0.0	1.0	23.5098	23.5098	1.3333	23	-34.2647	0.1875	6	-10.7549	0.25	-3.0	0.5	0.1666	1.9994	0.0625	-0.2853	0.5356	-0.0519	0.8642	0.1014	3.8971	17.6515	0.1018	54.5035	0.1018	-1.256	0.6733	0	-1	0	0.4599	-0.2697	2476	32	28	28	100.0	88.4286	72.6138	7708.5005	0.4131	19214.899	0.9917	10	0.0826	111	122	2.1311	11	1.0656	1.0656	1.0	1.0	1.9	1.9	6	5	1	1	3	3	0.6571	0.759	0.1927	1.0	1.0	1.0	0.6061	0.803	0.4857	0.842	0.485	0.5565	0.5694	0.5605	0.5329	0.0	0.9677	0.0	0.95	0.1667	1.0	0.6143	0.3821	0.035	-19.6515	-58.5035	-293679.8496	0	0	-0.3622	6.89	0.4857
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMf	0.5623	0.7536	0.7599	0.9695	0.6553	0.0	0.0	0.0076	0.6486	0.6458	-36	0.122	0.0	1.0	59.1354	59.1354	2.689	41	-71.1354	0.1251	5	-12.0	0.3364	-2.2668	0.5974	0.1197	1.674	0.2113	-0.2356	0.681	-0.1808	0.7208	0.1063	5.6217	20.4022	0.5369	79.4738	0.5369	-2.2567	0.4958	0	-1	0	0.3843	0.1762	7659	45	52	52	100.0	147.2885	115.8793	28717.455	0.4314	68099.3052	0.993	24	0.7059	10	23	3.0435	4	1.5217	1.5217	1.0	1.0	1.0417	1.0417	2	2	1	1	2	2	0.0223	0.6418	0.0763	0.9654	0.6552	0.9018	0.7609	0.9118	0.7591	0.7599	0.6896	0.7572	0.7572	0.7582	0.7365	0.0	0.428	0.0	0.4015	0.1776	1.0	0.7386	0.6475	0.023	-44.0537	-103.1253	-1160066.6949	0	0	-0.4665	0.82	0.7591
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT	IMd	0.033	0.9909	0.991	0.9946	0.9837	104.825	0.0506	0.0043	0.1934	-11.4145	-7	0.8293	0.0	1.0	-82.4447	-82.4447	7.9936	41	-71.1354	0.1251	34	-153.5801	1.0	27.3696	5.861	-0.1473	0.1706	0.8749	0.2463	1.3335	-0.6172	0.0468	-0.0221	0.0391	-122.4113	3.7787	-63.3397	3.7787	-0.7178	0.8396	0	-1	0	0.438	0.0611	7659	45	52	52	100.0	147.2885	115.8793	28717.455	0.4314	68099.3052	0.993	34	0.5075	33	25	5.36	16	2.68	2.68	1.0	1.0	1.0	1.0	13	14	1	1	1	1	21.5511	0.9836	0.8353	0.6513	0.1968	0.6473	0.2609	0.8136				0.9882	0.9903	0.9904	0.9919	0.0318	0.0326	0.0312	0.0318	0.1776	1.0	0.7386	0.6475	0.023	-44.0537	-103.1253	-1160066.6949	0	0	-0.4665	4.44	0.9909
edited_hh104_weekends	IMf	0.2199	0.675	0.6878	0.9204	0.6529	4.9695	0.0131	0.0113	0.9545	0.9347	-10	0.375	-0.125	0.875	-2.0	-2.0	0.8398	16	-8.0	0.4763	6	-10.0	0.4	-5.05	0.442	0.1395	2.2624	-0.0763	-0.1046	0.8417	0.3337	3.7375	0.1167	3.5425	-13.5098	3.0	-0.7549	3.0	-0.787	0.7579	0	-1	0	0.103	-0.8659	1728	19	18	18	100.0	96.0	64.0392	4206.9628	0.3912	12305.8167	0.9553	35	0.7778	10	32	3.0	5	1.5	1.5	1.0	1.0	1.0857	1.0857	3	4	1	1	3	3	0.7919	0.638	0.2067	0.9951	0.9737	0.9877	0.45	0.7705				0.6402	0.6854	0.6772	0.6811	0.1818	0.2013	0.1818	0.1854	0.1105	1.0	0.6608	0.1219	0.0459	-6.7549	-19.5098	-66204.3659	0	0	-0.0552	0.74	0.676
edited_hh104_weekends	IMd	0.0724	0.9842	0.9844	0.9903	0.9759	11.0	0.0289	0.0142	0.6406	-2.575	0	1.0	0.0	1.0	-47.303	-47.303	1.9761	16	-8.0	0.4763	16	-55.303	0.9412	6.0088	1.664	-0.0441	0.6009	0.4649	0.2784	1.4213	-0.0011	0.991	-0.0381	0.1699	-48.5481	8.1871	-44.4902	8.1871	-0.6542	0.7987	0	-1	0	0.0023	0.9583	1728	19	18	18	100.0	96.0	64.0392	4206.9628	0.3912	12305.8167	0.9553	20	0.5556	16	19	4.0	12	2.0	2.0	1.0	1.0	1.1	1.1	10	10	1	1	3	3	2.2024	0.9754	0.905	0.828	0.7137	0.7343	0.15	0.3993	0.9842	0.9842	0.9842	0.9771	0.9854	0.9858	0.9856	0.0698	0.0704	0.0684	0.0684	0.1105	1.0	0.6608	0.1219	0.0459	-6.7549	-19.5098	-66204.3659	0	0	-0.0552	0.43	0.9842
edited_hh104_weekends	ETM	0.98	0.5953	0.7401	0.929	0.7554	41.25	0.1086	0.0165	0.9661	0.9336	-8	0.5	0.0	1.0	-12.3645	-12.3645	0.4554	16	-8.0	0.4763	8	-20.3645	0.2169	-5.5794	0.3835	0.1776	2.6072	-0.2594	-0.3234	0.5106	0.3899	4.1985	0.0617	2.3442	-2.7549	1.4078	-0.4902	1.4078	-0.1811	0.9443	0	-1	0	0.1063	-0.9257	1728	19	18	18	100.0	96.0	64.0392	4206.9628	0.3912	12305.8167	0.9553	2	0.0156	126	124	2.0645	3	1.0323	1.0323	1.0	1.0	1.0	1.0	2	2	1	1	1	1	1.0491	0.7503	0.3073	0.9862	0.9649	0.9864	0.15	0.6885	0.5678	0.7401	0.5662	0.586	0.5852	0.6096	0.4761	0.6667	0.6667	0.6667	0.6667	0.1105	1.0	0.6608	0.1219	0.0459	-6.7549	-19.5098	-66204.3659	0	0	-0.0552	7.2	0.5678
