exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI
0	0	3	0.3	1.993	0.337118740263568	(1.0, 5)
0	0	3	0.5	2.06	0.182992697149593	(1.0, 5)
0	0	3	0.5	1.968	0.187322635538153	(1.0, 5)
0	0	3	0.5	2.086	0.196113117342428	(1.0, 5)
0	0	3	0.5	1.926	0.293473679002989	(1.0, 5)
0	0	3	0.5	1.683	0.223682914754466	(1.0, 5)
0	0	3	0.7	1.875	0.158454241926656	(1.0, 5)
0	0	3	0.7	1.569	0.110091792275413	(0.988950000337542, 5)
0	0	3	0.7	2.206	0.102085574932314	(0.9576629699756559, 4)
0	0	3	0.7	1.305	0.223937319801638	(0.6484405626735374, 5)
0	0	3	0.7	1.592	0.305364629086555	(0.796371572733221, 5)
0	1	0	0.3	1.654	0.188614206358359	(0.8132258069785322, 5)
0	1	0	0.3	1.551	0.288183809194304	(0.7883301918707711, 5)
0	1	0	0.3	1.532	0.276519730107473	(0.751363524498346, 5)
0	1	0	0.3	1.525	0.294751867472857	(0.7892404403966781, 5)
0	1	0	0.3	1.713	0.185746130094294	(0.840007465350553, 5)
0	1	0	0.5	1.646	0.165974058849696	(0.8379377807364324, 5)
0	1	0	0.5	1.654	0.185828429329291	(0.8371348246988837, 5)
0	1	0	0.5	1.704	0.186138520025702	(0.8353045031541185, 5)
0	1	0	0.5	1.621	0.162450326210521	(0.823078757217943, 5)
0	1	0	0.5	1.587	0.267291646209862	(0.7988885230215286, 5)
0	1	0	0.7	1.455	0.013634319384319	(0.897684278860296, 5)
0	1	0	0.7	1.387	0.035150809566251	(0.9092365892199566, 5)
0	1	0	0.7	1.528	0.0372124465948	(0.9093136096734803, 5)
0	1	0	0.7	1.388	0.025577329669241	(0.9095895332964046, 5)
0	1	0	0.7	1.407	0.067028999731206	(0.8732216175631616, 5)
0	1	1	0.3	1.524	0.079755436619925	(0.8922873752030845, 5)
0	1	1	0.3	1.435	-0.005323379099114	(0.8695109865229903, 4)
0	1	1	0.3	1.312	0.020966252734382	(0.9167901672441071, 5)
0	1	1	0.3	1.542	0.251707691789026	(0.9889534740746968, 5)
0	1	1	0.3	1.461	0.279130828707608	(0.6763717216940474, 5)
0	1	1	0.5	1.295	0.149541171852281	(0.9579997849972386, 5)
0	1	1	0.5	1.422	0.158407948751188	(0.7887253982655239, 5)
0	1	1	0.5	1.6	0.134701401492236	(0.960577480609391, 5)
0	1	1	0.5	1.654	0.229297164329923	(0.9459321783902062, 5)
0	1	1	0.5	1.803	0.145961058832611	(0.9780860712272761, 5)
0	1	1	0.7	1.463	0.195842221380153	(0.884993559513595, 5)
0	1	1	0.7	1.274	0.177140605427051	(0.7061962044412646, 5)
0	1	1	0.7	1.116	0.094219026777083	(0.6777830134689394, 5)
0	1	1	0.7	1.165	0.066289162921994	(0.6532338113450202, 5)
0	1	1	0.7	1.347	0.197233223508532	(0.8461189865716661, 5)
0	1	2	0.3	1.4	0.171820827048277	(0.7964311299994578, 5)
0	1	2	0.3	1.398	0.091031766051842	(0.8713230605068328, 5)
0	1	2	0.3	1.436	0.18740211666255	(0.8659414279378173, 5)
0	1	2	0.3	1.335	-0.001774686350496	(0.8996884105782557, 5)
0	1	2	0.3	1.454	-0.027825125255292	(0.9312797078368477, 5)
0	1	2	0.5	1.609	0.184606801700018	(0.8749809404285764, 5)
0	1	2	0.5	1.828	0.270602900846236	(0.8655391386356491, 5)
0	1	2	0.5	1.716	-0.035220094131443	(0.902847828171445, 5)
0	1	2	0.5	1.813	0.227718345010836	(0.8947144138228317, 5)
0	1	2	0.5	1.067	0.261643983046729	(0.5306067347142412, 5)
0	1	2	0.7	1.024	0.245194622945881	(0.522232619917288, 5)
0	1	2	0.7	1.66	0.214360132112405	(0.7754836778934472, 5)
0	1	2	0.7	1.616	0.296255872419656	(0.6884697568162061, 5)
0	1	2	0.7	1.431	0.067412902235726	(0.8736557684918088, 5)
0	1	2	0.7	1.683	0.325640017496484	(0.9254580538555105, 5)
0	1	3	0.3	1.486	0.232360719254379	(0.7661662246620159, 5)
0	1	3	0.3	1.449	0.237830546855823	(0.8462221626422239, 5)
0	1	3	0.3	1.597	0.260392726274942	(0.884789188168779, 5)
0	1	3	0.3	1.822	0.083168905579145	(0.9798690570886618, 5)
0	1	3	0.3	1.473	0.072417342044089	(0.9270939871660906, 5)
0	1	3	0.5	1.583	0.044403808203958	(0.9726067787891929, 5)
0	1	3	0.5	1.538	0.18426926088758	(0.9462810847305052, 5)
0	1	3	0.5	1.473	0.21681829054688	(0.8852633434071134, 5)
0	1	3	0.5	1.341	0.034166858926548	(0.9521043631886339, 5)
0	1	3	0.5	1.488	-0.022449707997178	(0.9344433735927984, 5)
0	1	3	0.7	1.094	0.168873526093885	(0.5751545802239413, 5)
0	1	3	0.7	1.319	-0.063892018823988	(0.8311187442923083, 5)
0	1	3	0.7	0.884	0.192246157503118	(0.47868156270912965, 5)
0	1	3	0.7	1.01	0.028179163558938	(0.7263361843670344, 5)
0	1	3	0.7	0.912	-0.154108661765736	(0.7907217859214268, 5)
0	2	0	0.3	0.913	-0.00388257575903	(0.8593664370985147, 5)
0	2	0	0.3	1.039	-0.007719661231888	(0.8480191297403409, 5)
0	2	0	0.3	1.196	-0.007697217716326	(0.8119565857392397, 5)
0	2	0	0.3	1.262	-0.025656743544663	(0.8946298984034833, 5)
0	2	0	0.3	1.336	0.037992743568109	(0.9289023190843394, 5)
0	2	0	0.5	1.163	0.04341648710706	(0.8912281629792242, 5)
0	2	0	0.5	1.366	0.058916172303155	(0.9383830522597559, 4)
0	2	0	0.5	1.127	-0.012312253250992	(0.9210709248021414, 5)
0	2	0	0.5	0.875	0.021648438335371	(0.9587304811822409, 4)
0	2	0	0.5	0.896	-0.074861479811695	(0.9289140759865934, 5)
0	2	0	0.7	0.767	-0.002606704519672	(0.9674788662357037, 4)
0	2	0	0.7	0.835	-0.047944929288513	(0.9481766771648595, 4)
0	2	0	0.7	1.089	0.103217879599902	(0.959515713877149, 4)
0	2	0	0.7	1.014	-0.054009771990251	(0.9404568352770685, 4)
0	2	0	0.7	0.918	-0.09898995101021	(0.8876997651937555, 4)
