	exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI	eps	balance
511	2	0	2	0.3	2.126	0.2585	1	4	0.2585
42	0	0	2	0.7	2.572	0.2584	1	4	0.2584
279	1	0	2	0.5	1.115	0.2879	0.8956	5	0.25784324
769	3	0	3	0.3	1.616	0.2712	0.9461	5	0.25658232
34	0	0	2	0.3	2.545	0.2564	1	5	0.2564
1076	4	1	3	0.7	1.753	0.3342	0.7668	5	0.25626456
165	0	2	3	0.3	2.177	0.2562	1	5	0.2562
441	1	3	1	0.5	1.711	0.2561	1	4	0.2561
838	3	1	3	0.7	1.324	0.2644	0.9676	5	0.25583344
41	0	0	2	0.7	2.503	0.2552	1	4	0.2552
1053	4	1	2	0.3	1.364	0.2606	0.9781	5	0.25489286
1034	4	1	0	0.7	1.745	0.2547	1	4	0.2547
1389	5	3	0	0.5	1.778	0.2787	0.9063	5	0.25258581
765	3	0	3	0.3	1.404	0.2551	0.9894	5	0.25239594
564	2	1	1	0.5	2.025	0.2522	1	4	0.2522
603	2	2	0	0.3	1.261	0.2522	1	5	0.2522
325	1	1	1	0.7	1.462	0.254	0.9895	5	0.251333
593	2	1	3	0.5	1.456	0.2509	1	4	0.2509
584	2	1	2	0.7	1.423	0.2508	1	5	0.2508
604	2	2	0	0.3	1.286	0.2508	1	4	0.2508
551	2	1	0	0.7	1.41	0.2501	1	5	0.2501
509	2	0	1	0.7	1.967	0.2501	1	5	0.2501
887	3	2	3	0.3	1.312	0.2773	0.9005	5	0.24970865
548	2	1	0	0.5	1.654	0.2495	1	5	0.2495
965	4	0	0	0.5	1.065	0.2729	0.9136	5	0.24932144
365	1	2	0	0.5	1.353	0.2611	0.9543	5	0.24916773
864	3	2	1	0.5	2.169	0.2518	0.9894	5	0.24913092
562	2	1	1	0.5	1.884	0.2491	1	4	0.2491
498	2	0	1	0.3	1.874	0.2664	0.935	4	0.249084
1299	5	1	2	0.5	1.395	0.2541	0.9802	5	0.24906882
78	0	1	1	0.3	1.542	0.2517	0.989	5	0.2489313
557	2	1	1	0.3	1.758	0.2487	1	5	0.2487
1293	5	1	2	0.3	1.343	0.3016	0.8246	5	0.24869936
581	2	1	2	0.7	1.227	0.2746	0.9027	4	0.24788142
1074	4	1	3	0.5	1.683	0.2649	0.9355	5	0.24781395
459	1	3	2	0.5	2.503	0.2467	1	5	0.2467
888	3	2	3	0.3	1.425	0.2756	0.8951	5	0.24668956
1335	5	2	1	0.3	2.071	0.2466	1	5	0.2466
399	1	2	2	0.5	1.066	0.2516	0.9791	5	0.24634156
1429	5	3	3	0.3	1.28	0.2787	0.8838	5	0.24631506
316	1	1	1	0.3	1.732	0.2485	0.9905	5	0.24613925
583	2	1	2	0.7	1.311	0.2459	1	5	0.2459
747	3	0	1	0.7	1.645	0.2568	0.9565	5	0.2456292
563	2	1	1	0.5	1.573	0.2454	1	4	0.2454
863	3	2	1	0.5	1.613	0.2452	1	5	0.2452
1083	4	2	0	0.3	2.064	0.25	0.978	5	0.2445
1319	5	1	3	0.7	1.067	0.2554	0.9569	5	0.24439226
