id	exchange_leaf	exchange_op	exchange_subtree	prob_up	inner_similarity	trees_similarity	ARI	eps
39	2	1	2	0.4	1.648	0.568718234836121	0.680907594964215	4
81	4	4	2	0.5	1.191	0.568319420300429	0.521566194567131	5
56	3	2	1	0.3	1.16	0.567517377257298	0.580368347652487	4
15	0	4	3	0.4	1.598	0.567132251473109	0.618069260411258	4
5	0	2	3	0.5	1.434	0.565083445122545	0.57878985035784	5
55	3	2	1	0.3	1.699	0.564686944755212	0.621658804342067	4
97	5	3	0	0.5	1.546	0.556349457103334	0.450988163798056	4
36	1	5	2	0.5	1.195	0.550270934269271	0.430489490594977	5
10	0	4	1	0.4	0.969	0.548830598879487	0.447534416870022	5
37	1	5	3	0.3	1.097	0.547289376968421	0.32241834880067	4
57	3	2	1	0.5	1.171	0.546517459953139	0.47502595569718	5
13	0	4	2	0.4	1.031	0.5457439640409	0.391965998682767	4
27	1	3	0	0.4	1.087	0.545044438047179	0.328433286263082	4
76	4	4	0	0.5	1.424	0.539430683511536	0.679617471075291	6
80	4	4	2	0.4	1.518	0.535241733272955	0.588446607807865	5
79	4	4	1	0.5	1.224	0.531102221715512	0.566766388837386	4
98	5	3	1	0.3	1.244	0.526636494324104	0.361418074544291	5
83	4	4	3	0.3	1.534	0.525132236841463	0.6399101323761	4
53	2	5	3	0.5	1.312	0.524577060311447	0.561247981272498	7
70	3	5	2	0.5	1.293	0.524221641379408	0.59523086559056	6
103	5	4	2	0.5	1.436	0.519320892467794	0.656744093234291	6
35	1	5	1	0.5	1.29	0.513990296750746	0.446105302538108	7
96	5	3	0	0.3	1.209	0.513431020101269	0.449042419004776	5
26	1	2	3	0.5	1.451	0.511126518679219	0.597805799924649	7
11	0	4	1	0.5	1.239	0.510347147982924	0.611160878463861	5
68	3	5	0	0.5	1.074	0.504636678748303	0.445059527062086	6
89	4	5	2	0.3	1.196	0.500075667977275	0.546465241098837	6
34	1	5	1	0.3	1.253	0.498245605532506	0.521102836868778	4
52	2	5	3	0.4	1.076	0.498146312630029	0.453604612999975	6
50	2	4	3	0.4	1.102	0.497310146010553	0.419850206916453	6
28	1	3	2	0.4	1.168	0.496547951756069	0.592267666005115	7
60	3	3	3	0.3	1.233	0.496138274984768	0.492173898895877	7
3	0	2	2	0.5	1.113	0.49572693569365	0.666120505405646	6
84	4	5	0	0.4	1.173	0.495448364986277	0.427317971007591	4
43	2	2	3	0.4	1.529	0.492446914304619	0.68823395528351	5
12	0	4	1	0.5	1.337	0.490443801401687	0.691026006835988	6
48	2	3	3	0.3	1.164	0.487949609899327	0.547962500048363	6
25	1	2	2	0.5	1.367	0.486262310797654	0.46323363266271	7
93	5	2	2	0.5	1.192	0.48307021103212	0.428477599387667	5
44	2	3	1	0.5	1.199	0.481943441073832	0.500805413061842	6
92	5	2	0	0.5	1.132	0.4630697486027	0.588479064834506	7
71	3	5	3	0.4	1.445	0.46083726066738	0.631745828952408	7
38	1	5	3	0.4	1.145	0.459902165114561	0.446295690499372	6
20	0	5	3	0.4	1.485	0.459770839201909	0.667732638429156	5
63	3	4	2	0.3	1.204	0.459441945801753	0.515964650144273	5
47	2	3	2	0.5	1.462	0.459155689306223	0.507059943608094	7
90	4	5	2	0.4	1.183	0.459087250867224	0.69403879015588	5
2	0	1	3	0.4	1.455	0.458991014046629	0.665292646438133	7
61	3	4	1	0.5	1.403	0.456678385829759	0.655516612485116	7
74	4	4	0	0.4	1.078	0.454122312500176	0.457349727667069	6
107	5	5	2	0.4	1.248	0.446358467906443	0.42156494029126	6
42	2	2	2	0.4	1.573	0.438107408264918	0.679787129558939	6
82	4	4	2	0.5	1.175	0.437521694805308	0.508826348577438	6
95	5	2	3	0.5	1.359	0.435912364322539	0.686739833140271	5
104	5	4	3	0.4	1.088	0.422595824405735	0.472540934472432	6
16	0	5	1	0.5	0.95	0.422208836031371	0.698176940414493	7
88	4	5	1	0.5	1.337	0.403858244709348	0.688090801172894	7
23	1	2	0	0.4	0.939	0.403611083344458	0.668616457163747	5
105	5	4	3	0.5	0.961	0.400168437559413	0.543662620044876	6
78	4	4	1	0.5	1.14	0.398856042794879	0.526153346399901	7
21	0	5	3	0.4	1.097	0.392334443226408	0.669357318768569	7
94	5	2	3	0.3	1.316	0.390109342982825	0.681591490392494	6
62	3	4	1	0.5	1.5	0.386760250220196	0.698539555317634	6
66	3	4	2	0.5	1.305	0.375215636704382	0.698192042776777	5
46	2	3	2	0.3	0.996	0.371199806458605	0.50192096460828	7
73	4	3	3	0.3	1.45	0.36965188032981	0.6552635218211	6
108	5	5	2	0.5	1.153	0.369631076185276	0.69619253901451	7
41	2	2	1	0.3	0.975	0.359211972396094	0.497861435173005	7
64	3	4	2	0.3	1.067	0.356895901621873	0.461200828113812	6
