EVENT_LOG	DISCOVERY_ALG	ABS_EDGES_ONLY_IN_MODEL_W_2	DIST_NODES_PERCENT	DIST_EDGES_PERCENT
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMf	0.7202	0.2308	0.5217
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	IMd	0.3799	0.1538	0.7193
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	ETM	1.0	0.4615	0.6111
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.9844	0.8298	0.9088
PRIMEIRA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMd	0.7947	0.5745	0.6857
BPI_Challenge_2014_Control summary.xes.gz	IMf	1.0	0.125	0.3529
BPI_Challenge_2014_Control summary.xes.gz	IMd	0.9332	0.0	0.375
BPI_Challenge_2014_Control summary.xes.gz	ETM	0.7594	0.25	0.5
BPI_Challenge_2014_Department control parcels.xes.gz	IMf	1.0	0.4286	0.6667
BPI_Challenge_2014_Department control parcels.xes.gz	IMd	0.999	0.2857	0.36
BPI_Challenge_2014_Department control parcels.xes.gz	ETM	0.8453	0.2857	0.5185
ElectronicInvoicingENG.xes.gz	IMf	1.0	0.0	0.15
ElectronicInvoicingENG.xes.gz	IMd	0.4082	0.0	0.617
ElectronicInvoicingENG.xes.gz	ETM	1.0	0.0	0.1
4a_VARA_CIVEL_-_TJGO.xes	IMf	0.9345	0.5882	0.6477
4a_VARA_CIVEL_-_TJGO.xes	IMd	0.8859	0.5882	0.6562
4a_VARA_CIVEL_-_TJGO.xes	ETM	0.807	0.4706	0.5619
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	IMf	0.7489	0.7333	0.8092
VARA_DA_FAZENDA_PUBLICA_DA_COMARCA_DE_PAULISTA_-_TJPE.xes	ETM	0.871	0.5333	0.7812
BPI_Challenge_2014_Entitlement application.xes.gz	IMf	0.6855	0.2381	0.5455
BPI_Challenge_2014_Entitlement application.xes.gz	IMd	0.5944	0.0476	0.5733
BPI_Challenge_2014_Entitlement application.xes.gz	ETM	1.0	0.5714	0.8364
BPI_Challenge_2014_Inspection.xes.gz	IMf	0.8714	0.125	0.5865
BPI_Challenge_2014_Inspection.xes.gz	IMd	0.7412	0.0	0.6684
BPI_Challenge_2014_Inspection.xes.gz	ETM	1.0	0.3125	0.7733
BPI_Challenge_2014_Geo parcel document.xes.gz	IMf	0.8629	0.2353	0.5283
BPI_Challenge_2014_Geo parcel document.xes.gz	IMd	0.8199	0.1176	0.445
BPI_Challenge_2014_Geo parcel document.xes.gz	ETM	0.989	0.5882	0.8456
BPI_Challenge_2012.xes.gz	IMf	0.5579	0.08	0.6766
BPI_Challenge_2012.xes.gz	IMd	0.5215	0.08	0.6767
BPI_Challenge_2012.xes.gz	ETM			
edited_hh110_weekends.xes.gz	IMf	0.5738	0.0667	0.5126
edited_hh110_weekends.xes.gz	IMd	0.459	0.0667	0.6424
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMd	0.5838	0.3226	0.7028
3a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	0.9112	0.3871	0.7974
BPI_Challenge_2020_InternationalDeclarations.xes.gz	IMf	0.445	0.2286	0.7308
BPI_Challenge_2020_InternationalDeclarations.xes.gz	IMd	0.304	0.0857	0.8165
BPI_Challenge_2020_InternationalDeclarations.xes.gz	ETM	0.8357	0.3714	0.8027
DocumentProcessingENG.xes.gz	IMf	1.0	0.0909	0.1905
DocumentProcessingENG.xes.gz	IMd	0.3855	0.0909	0.6531
DocumentProcessingENG.xes.gz	ETM	0.9675	0.0	0.0909
edited_hh110_labour.xes.gz	IMf	0.9109	0.5	0.6019
edited_hh110_labour.xes.gz	IMd	0.5125	0.0556	0.6102
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMf	0.6838	0.4545	0.6272
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	IMd	0.5906	0.3636	0.6733
1a_VARA_DE_FEITOS_TRIBUTARIOS_DO_ESTADO_-_TJMG.xes	ETM	1.0	0.6061	0.803
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMf	0.9018	0.7609	0.9118
QUARTA_VARA_CRIMINAL_-_COMARCA_DE_VARZEA_GRANDE_-_SDCR_-_TJMT.xes	IMd	0.6473	0.2609	0.8136
edited_hh104_weekends.xes.gz	IMf	0.9877	0.45	0.7705
edited_hh104_weekends.xes.gz	IMd	0.7343	0.15	0.3993
edited_hh104_weekends.xes.gz	ETM	0.9864	0.15	0.6885
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMf	0.9026	0.5385	0.869
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	IMd	0.7039	0.2821	0.725
1a_VARA_CRIMINAL_DA_CAPITAL_-_TJAM.xes	ETM	0.9969	0.6667	0.8792
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMf	0.8234	0.3448	0.4334
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	IMd	0.7401	0.3103	0.5411
2A._VARA_DE_EXECUTIVO_FISCAL_JOAO_PESSOA_-_TJPB.xes	ETM	0.9802	0.4483	0.8683
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	IMd	0.5751	0.1538	0.6879
VARA_DE_SUCESSOES_DE_CAMPINA_GRANDE_-_TJPB.xes	ETM	0.9767	0.3846	0.7989
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMf	0.4675	0.3333	0.7331
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	IMd	0.4414	0.2333	0.7566
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	ETM	0.7259	0.4333	0.8737
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	IMf	0.6607	0.475	0.5335
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	IMd	0.5334	0.375	0.6832
JUIZO_DA_1a_ESCRIVANIA_CRIMINAL_DE_ARAPOEMA_-_TJTO.xes	ETM	0.9669	0.625	0.8889
BPI_Challenge_2014_Reference alignment.xes.gz	IMf	0.9327	0.0	0.4348
BPI_Challenge_2014_Reference alignment.xes.gz	IMd	0.9271	0.0	0.2917
BPI_Challenge_2014_Reference alignment.xes.gz	ETM	0.7273	0.1429	0.5385
Hospital Billing - Event Log.xes.gz	IMf	0.7979	0.2105	0.5444
Hospital Billing - Event Log.xes.gz	IMd	0.727	0.1579	0.4133
Hospital Billing - Event Log.xes.gz	ETM	0.589	0.5263	0.8043
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	IMf	0.5618	0.3333	0.6831
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	IMd	0.5175	0.25	0.704
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	ETM	0.972	0.5417	0.7674
Road_Traffic_Fine_Management_Process.xes.gz	IMf	0.6228	0.0	0.3627
Road_Traffic_Fine_Management_Process.xes.gz	IMd	0.6401	0.0	0.3611
Road_Traffic_Fine_Management_Process.xes.gz	ETM	0.8944	0.25	0.7901
BPI_Challenge_2020_PermitLog.xes.gz	IMd	0.4657	0.2115	0.7407
BPI_Challenge_2020_PermitLog.xes.gz	ETM	0.9486	0.6731	0.9178
BPI_Challenge_2019_log_IEEE.xes.gz	IMd	0.6683	0.3256	0.5691
BPI_Challenge_2019_log_IEEE.xes.gz	ETM	1.0	0.814	0.9721
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	IMf	0.9521	0.7619	0.8368
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT.xes	IMd	0.6151	0.2698	0.8145
Sepsis Cases - Event Log.xes.gz	IMf	0.8453	0.1176	0.6513
Sepsis Cases - Event Log.xes.gz	IMd	0.7033	0.0	0.5092
Sepsis Cases - Event Log.xes.gz	ETM	0.9599	0.2941	0.6884
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE.xes	IMd	0.5609	0.2941	0.8099
BPI_Challenge_2013_open_problems.xes.gz	IMf	1.0	0.0	0.1667
BPI_Challenge_2013_open_problems.xes.gz	IMd	0.9016	0.0	0.2
BPI_Challenge_2013_open_problems.xes.gz	ETM			
BPI_Challenge_2013_incidents.xes.gz	IMf	0.9579	0.2	0.3529
BPI_Challenge_2013_incidents.xes.gz	IMd	0.8726	0.0	0.3333
BPI_Challenge_2013_incidents.xes.gz	ETM			
BPI Challenge 2017.xes.gz	IMf	0.714	0.2222	0.7917
BPI Challenge 2017.xes.gz	IMd	0.5004	0.0	0.6727
BPI Challenge 2017.xes.gz	ETM	0.9346	0.2963	0.8144
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMf	0.4769	0.3333	0.6528
BPI_Challenge_2020_DomesticDeclarations.xes.gz	IMd	0.3406	0.3333	0.7391
BPI_Challenge_2020_DomesticDeclarations.xes.gz	ETM	0.7031	0.3889	0.6825
5a_VARA_CIVEL_-_TJMT.xes	IMf	0.7544	0.6667	0.7965
5a_VARA_CIVEL_-_TJMT.xes	IMd	0.7306	0.6667	0.7974
5a_VARA_CIVEL_-_TJMT.xes	ETM	0.9379	0.5278	0.8241
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMf	0.7456	0.6667	0.8154
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	IMd	0.4738	0.5556	0.7905
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	ETM	0.97	0.5185	0.7025
