EVENT_LOG	DISCOVERY_ALG	TIME_ALIGN	ALIGNMENTS_MARKOV_4_K1
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	IMd	0.85	0.9982
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR	ETM	0.29	0.893
Road_Traffic_Fine_Management_Process	IMf	4.39	0.9176
Road_Traffic_Fine_Management_Process	IMd	0.75	0.7948
Road_Traffic_Fine_Management_Process	ETM	0.71	0.84
BPI_Challenge_2020_PermitLog	IMd	3.25	0.7368
BPI_Challenge_2020_PermitLog	ETM	0.67	0.7502
BPI_Challenge_2019_log_IEEE	IMd	6.45	0.9669
BPI_Challenge_2019_log_IEEE	ETM	4.98	0.8139
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMf	1.2	0.7801
SETIMA_VARA_CIVEL_-_COMARCA_DA_CAPITAL_-_SDCR_-_TJMT	IMd	0.41	0.9953
Sepsis Cases - Event Log	IMf	0.36	0.7818
Sepsis Cases - Event Log	IMd	0.3	0.9999
Sepsis Cases - Event Log	ETM	0.44	0.8294
4_a_VARA_CIVEL_DE_ARACAJU_-_TJSE	IMd	0.81	0.9983
BPI_Challenge_2013_open_problems	IMf	0.11	0.9783
BPI_Challenge_2013_open_problems	IMd	0.1	1.0
BPI_Challenge_2013_open_problems	ETM	0.15	0.0
BPI_Challenge_2013_incidents	IMf	0.39	0.7644
BPI_Challenge_2013_incidents	IMd	0.36	1.0
BPI_Challenge_2013_incidents	ETM	0.37	0.0
BPI Challenge 2017	IMf	12.61	0.863
BPI Challenge 2017	IMd	14.09	0.8612
BPI Challenge 2017	ETM	11.25	0.8318
BPI_Challenge_2020_DomesticDeclarations	IMf	0.79	0.935
BPI_Challenge_2020_DomesticDeclarations	IMd	0.18	0.9867
BPI_Challenge_2020_DomesticDeclarations	ETM	0.2	0.9606
5a_VARA_CIVEL_-_TJMT	IMf	0.54	0.6738
5a_VARA_CIVEL_-_TJMT	IMd	0.15	0.6379
5a_VARA_CIVEL_-_TJMT	ETM	0.35	0.6281
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMf	0.13	0.6065
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	IMd	0.24	0.7127
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE	ETM	4.32	0.9093
