EVENT_LOG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES	DISCOVERY_ALG
BPI_Challenge_2019_log_IEEE.xes.gz	-1	-1	-1	-1	0.7724347531942588	0.9620758483033932	0.9885386819484241	0.3383557736693145	0.342144	0.339094	0.340692	-0.0577	-0.8	-3.776	-38	-1	-1	-0.127	-2.3472	-1	0.0043671399924191156	0.000446	0.000445	0.000445	-4.7966	-4.7029	-0.10244368827532721	-1	-1	5	9	12	2.5	4	0.7647	-1	0.2857	0.1429	1.9056	0.2176	0.1135	2.1556	123296	61232.5	2.75	0.2143	0.6667	2.0033	251734	11973	42	IMf
BPI_Challenge_2014_Reference alignment.xes.gz	-1	-1	-1	-1	0.9740768772327494	0.75	0.8444444444444444	0.084742598441122	0.093965	0.088071	0.091284	0.1176	-0.5	-1.0625	-3	-1	-1	0.2326	-1.9528	-1	0.0	0.0	0.0	0.0	-1.124	-1.5862	-0.3106950402611304	-1	-1	5	3	7	2.2857	3	0.8824	-1	0.5	0.0	0.9183	0.0	0.0	-0.0	9095	9095.0	1.585	0.5	1.0	0.9698	43802	515	6	IMf
BPI_Challenge_2020_PrepaidTravelCost.xes.gz	-1	-1	-1	-1	0.8463770441114289	0.7833333333333333	0.8705357142857143	0.1656713964827703	0.167915	0.166295	0.168918	-0.0266	-0.4818	0.9152	-5	-1	-1	-0.0833	-0.1719	-1	0.7785021640278311	0.093394	0.092926	0.09304	-1.7036	-1.7733	0.012353022568252565	-1	-1	8	16	20	2.7	5	0.6875	-1	0.3714	0.0476	2.9056	0.1948	0.0242	2.8994	1602	483.5	3.625	0.125	0.5333	2.6935	2099	202	29	IMf
COLOMBO_-_VARA_DA_FAZENDA_PUBLICA_-_TJPR.xes	-1	-1	-1	-1	0.8109367320560518	0.6715686274509803	0.8781055900621118	0.20143581081081105	0.212749	0.203501	0.208293	0.0688	-0.05	4.8062	71	-1	-1	0.1608	0.837	-1	6.6903856981982015	0.38027	0.373745	0.379482	0.6981	0.0448	0.12061186017936694	-1	-1	71	18	58	3.2069	5	0.6533	-1	0.588	0.0411	3.3931	0.0193	0.0067	4.0188	3220	111.0	4.2299	0.2332	0.1949	3.4155	513	395	23	IMf
Road_Traffic_Fine_Management_Process.xes.gz	-1	-1	-1	-1	0.3105568697741302	0.971830985915493	0.9905660377358491	0.8337880919728565	0.893612	0.838799	0.865053	-0.1162	-0.5	-1.9859	-6	-1	-1		-3.2124	-1	0.0	0.0	0.0	0.0	-3.642	-3.9798	0.022999583859957436	-1	-1	0	2	3	1.3333	2	1.0	-1	0.3333	0.25	1.5219	0.0	0.0	-0.0	56482	56482.0	0.971	0.2	1.25	1.3486	150370	231	11	IMf
BPI_Challenge_2013_incidents.xes.gz	-1	-1	-1	-1	0.9879695183212817	0.38461538461538464	0.4772727272727273	0.017929624317148344	0.020021	0.0202	0.020154	0.0319	0.0833	-0.5096	-4	-1	-1	-0.0273	-1.3351	-1	0.0	0.0	0.0	0.0	-0.4205	-0.5726	-0.29214622606383306	-1	-1	9	3	10	2.6	3	0.7333	-1	0.5	0.5	-0.0	0.0596	0.0596	0.9183	10038	2600.0	1.585	1.3333	0.375	0.9765	7554	1511	4	IMf
VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_COMARCA_DE_JABOATAO_DOS_GUARARAPES_-_TJPE.xes	-1	-1	-1	-1	0.7356996767191752	0.7846153846153846	0.8218390804597702	0.22099603848330535	0.224469	0.223642	0.224392	0.087	0.0	1.6429	-8	-1	-1	0.2292	0.2103	-1	0.9292586304470853	0.111384	0.110777	0.110925	-1.5518	-1.6251	-0.030313519888621437	-1	-1	35	11	32	3.0	5	0.6842	-1	0.6439	0.0465	3.3931	0.03	0.0104	3.2344	480	14.0	3.969	0.1798	0.2527	3.4831	28	28	26	IMf
BPI_Challenge_2020_DomesticDeclarations.xes.gz	-1	-1	-1	-1	0.7551010229714614	0.8780487804878049	0.9431818181818182	0.33409344010181885	0.343615	0.337444	0.350797	-0.129	-0.5	-1.1463	-9	-1	-1		-2.5375	-1	0.0	0.0	0.0	0.0	-2.5462	-2.7493	0.030737778924787865	-1	-1	0	5	6	1.6667	2	1.0	-1	0.3333	0.25	1.5219	0.0	0.0	-0.0	4618	4618.0	0.971	0.2	1.25	1.3486	10500	99	17	IMf
Sepsis Cases - Event Log.xes.gz	-1	-1	-1	-1	0.7412620187130468	0.5915492957746479	0.7933579335793358	0.23254896805573846	0.238837	0.233695	0.235794	-0.0784	-0.7222	2.0111	-6	-1	-1	0.3235	-1.0456	-1	1.5122913106349427	0.168812	0.166995	0.167257	-1.1383	-0.6282	0.07953134203129086	-1	-1	19	13	26	2.8462	5	0.6444	-1	0.3667	0.0881	3.5778	0.0512	0.0256	3.875	2039	451.5	4.0	0.4458	0.1495	2.9671	1050	846	16	IMf
BPI_Challenge_2013_open_problems.xes.gz	-1	-1	-1	-1	0.7794240429578783	0.6	0.7419354838709677	0.35779816513761475	0.418096	0.404584	0.414717	0.1095	0.0	-1.1	-5	-1	-1	0.4503	-0.4464	-1	0.0	0.0	0.0	0.0	-0.9602	-0.94	-0.5225069915292178	-1	-1	4	2	5	2.4	3	0.8462	-1	0.0	0.0	-0.0	0.0	0.0	-0.0	216	0.0	1.585	0.3333	1.5	0.993	819	108	3	IMf
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	-1	-1	-1	-1	0.5159503043123728	0.8285714285714286	0.8823529411764706	0.6198219125048391	0.645878	0.647485	0.64811	0.307	0.3	0.1714	-2	-1	-1		-2.3172	-1	0.29539295392953935	0.091386	0.09216	0.09008	-1.5272	-1.8063	-0.437976726165683	-1	-1	11	6	13	2.7692	4	0.7143	-1	0.45	0.225	2.585	0.0	0.0	-0.0	347	268.0	2.585	0.4	0.5	1.7747	232	33	12	HEU_MINER
Receipt phase of an environmental permit application process (_WABO_) CoSeLoG project.xes.gz	-1	-1	-1	-1	0.1745787120054904	0.9306930693069307	0.9655172413793104	0.7495686184286182	0.778387	0.758046	0.768019	-0.0549	-0.5	-1.1541	-8	-1	-1	-0.5552	-2.2776	-1	0.0	0.0	0.0	0.0	-3.1985	-3.4228	0.06619876479740265	-1	-1	1	6	7	2.0	3	1.0	-1	0.3	0.2	1.585	0.0	0.0	-0.0	115	115.0	0.9183	0.1667	1.2	1.6461	1434	116	27	HEU_MINER
ElectronicInvoicingENG.xes.gz	-1	-1	-1	-1	0.5685820420919209	0.5789473684210527	0.7333333333333333	0.5816910979516551	0.619821	0.606272	0.617197	0.2094	0.1667	0.4868	-1	-1	-1	0.3697	-0.0136	-1	0.3991910170533605	0.192183	0.195913	0.191025	-0.8857	-0.5872	-1.714665148543113	-1	-1	12	9	15	2.8	4	0.75	-1	0.2679	0.1429	2.7255	0.0	0.0	-0.0	13710	10500.0	1.9749	0.2361	0.5294	1.8898	20135	7	9	HEU_MINER
BPI_Challenge_2014_Inspection.xes.gz	-1	-1	-1	-1	0.639889705606014	0.463768115942029	0.6169354838709677	0.19323578650293105	0.197053	0.196337	0.196657	0.0344	0.0	1.1912	-2	-1	-1	0.2666	0.2922	-1	0.5070479523763763	0.079399	0.079599	0.079564	-0.6648	-1.3213	-0.0017219763617313789	-1	-1	34	15	24	4.1667	11	0.5748	-1	0.5659	0.0604	3.2402	0.016	0.0041	3.4566	75907	2251.0	3.9069	0.3095	0.2308	2.5837	5485	3190	15	HEU_MINER
