EVENT_LOG	PRECISION	FITNESS	FILTER_FREQ	FILTER_RAND	TOTAL_TRACES	DISCOVERY_ALG	EDIT_DISTANCE	EDIT_DISTANCE_WEIGHTED	EDIT_DISTANCE_WEIGHTED_MODIF	EDIT_DISTANCE_WEIGHTED_FIT	ALIGNMENT_DFG	DIST_NODES_PERCENT	DIST_EDGES_PERCENT	DIST_EDGES_WEIGHTED_FIT	DIST_EDGES_BTW	DIST_EDGES_CC	DIST_EDGES_DEGREE	CLUST_DIFF	CLUST_MAX_DIFF	DEGREE_DIFF	DEGREE_MAX_DIFF	BETWEEN_DIFF	BETWEEN_MAX_DIFF	ASSORT_DIFF	ENTROPY_DIFF	ENTROPY_DIFF_BTW	EXCEEDING_EDGES	EXCEEDING_EDGES_BTW	EXCEEDING_EDGES_CC	EXCEEDING_EDGES_DEGREE	FOURIER_ENTROPY_DIFF	FOURIER_ENTROPY_DIFF_WEIGHTED	CLUST_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED	BETWEEN_DIFF_WEIGHTED_NORM	PN_SILENT_TRANS	PN_TRANS	PN_PLACES	PN_ARCS_MEAN	PN_ARCS_MAX	PN_SIMPLICITY	PN_GENERALIZATION	LOG_BTW_MAX	LOG_BTW_MEDIAN	LOG_BTW_ENTROPY	LOG_CC_MAX	LOG_CC_MEDIAN	LOG_CC_ENTROPY	LOG_DEGREE_MAX	LOG_DEGREE_MEDIAN	LOG_DEGREE_ENTROPY	LOG_LINK_DENSITY	LOG_NODE_DEGREE_RATIO	LOG_FOURIER_ENTROPY	LOG_TRACES	LOG_VARIANTS	LOG_ACTIVITIES
VITORIA_-_5a_VARA_CIVEL_-_TJES.xes	0.8603	-1.0	-1.0	-1.0	206.0	ETM	-1	-1	-1	-1	0.5128236060075506	0.9172185430463576	0.9523809523809524	0.4379152517348324	0.443779	0.439887	0.4421	0.0242	-0.1667	-1.5130000000000001	-22	-1	-1	0.2813	-1.1391	-1	0.015207441311088143	0.0007599999999999999	0.0007599999999999999	0.000762	-3.3676	-3.5513	-0.5069177636775333	-1	-1	13	66	72	2.1944	3	0.9152	-1	0.3599	0.0106	4.3898	0.0259	0.0067	4.3719	2280	10.5	4.5464	0.1718	0.1493	4.1653	206	206	42
activitylog_uci_detailed_weekends.xes.gz	0.9773	0.6447	-1.0	-1.0	10.0	ETM	-1	-1	-1	-1	0.36377746565005226	0.5365853658536586	0.7317073170731707	0.4979508196721305	0.50425	0.50522	0.510502	-0.0019	0.2222	-0.4841	-5	-1	-1	0.4369	-0.6162	-1	0.21926229508196726	0.050831	0.050773	0.050711	-1.0265	-0.9087	0.12637565223783107	-1	-1	6	61	66	2.0606	3	0.9568	-1	0.4089	0.0737	3.4566	0.078	0.0457	3.7736	88	20.0	3.6402	0.3714	0.1923	2.5841	10	10	15
3a_VARA_DE_FAMILIA_E_REGISTRO_CIVIL_DA_COMARCA_DE_OLINDA_-_TJPE.xes	0.8923	0.9584	-1.0	-1.0	232.0	ETM	-1	-1	-1	-1	0.9602834577991084	0.6285714285714286	0.676923076923077	0.05652342237708088	0.059134000000000006	0.057923	0.057837	0.1884	0.3	-0.1363	-2	-1	-1	0.3126	-0.9825	-1	0.04529616724738676	0.009184000000000001	0.009348	0.009081	-1.2897	-1.5814	-1.43536700606163	-1	-1	7	13	15	2.6667	4	0.7778	-1	0.4121	0.0712	3.2516	0.0635	0.0192	2.6887	440	183.0	3.4183	0.2576	0.3529	2.5372	232	33	12
activitylog_uci_detailed_labour.xes.gz	0.9905	0.6019	-1.0	-1.0	25.0	ETM	-1	-1	-1	-1	0.5511764269915699	0.5727272727272728	0.7112970711297071	0.32040229885057475	0.324384	0.323869	0.326138	0.0175	0.0	-0.4617	-4	-1	-1	0.2663	-0.424	-1	0.1257183908045977	0.044364999999999995	0.04385	0.043682	-1.0437	-1.2697	-0.06111976255827864	-1	-1	10	94	100	2.24	11	0.8361	-1	0.3056	0.1063	4.0	0.0395	0.0278	4.0	270	51.0	3.875	0.4542	0.1468	2.7288	25	25	16
4a_VARA_DE_SUCESSOES_E_REGISTROS_PUBLICOS_DA_CAPITAL_-_TJPE.xes	0.8311	0.5128	-1.0	-1.0	36.0	ETM	-1	-1	-1	-1	0.6342574784003225	0.6239316239316239	0.7534722222222222	0.2703830109973453	0.274634	0.273077	0.274778	-0.0371	0.0	-0.6891	-6	-1	-1	0.0207	-0.8646	-1	0.018581721653394008	0.004096	0.004084	0.004081	-1.1943	-1.382	0.1237808334254034	-1	-1	17	132	139	2.1439	3	0.9351	-1	0.5977	0.0412	3.7442	0.0237	0.0094	3.9161	611	33.0	4.3923	0.2738	0.1826	3.3178	36	36	21
ElectronicInvoicingENG.xes.gz	0.945	0.9352	-1.0	-1.0	20135.0	ETM	-1	-1	-1	-1	0.8959319953218896	0.10526315789473684	0.3333333333333333	0.06089052842766074	0.063289	0.064309	0.068246	0.0203	0.1667	-0.0279	0	-1	-1	0.1271	-0.1723	-1	0.12819467365627935	0.0543	0.05365399999999999	0.053975999999999996	-0.2198	-0.3703	-0.5762457713620202	-1	-1	4	17	19	2.2105	3	0.9091	-1	0.3036	0.125	2.9477	0.0	0.0	-0.0	45374	37058.0	2.5033	0.25	0.5	1.7924	20135	7	9
BPI_Challenge_2014_Inspection.xes.gz	0.9975	-1.0	-1.0	-1.0	5485.0	ETM	-1	-1	-1	-1	0.6139654463146232	0.7647058823529411	0.8900523560209425	0.2605390532933437	0.266829	0.264481	0.265768	-0.0327	-0.5	-1.4963	-6	-1	-1	-0.1021	-2.1635	-1	0.0	0.0	0.0	0.0	-1.4537	-2.1297	0.011425157785152924	-1	-1	3	28	30	2.0667	3	0.9683	-1	0.5769	0.0659	2.8729	0.0163	0.0029	3.4566	124193	3632.0	3.9069	0.319	0.2239	2.5799	5485	3190	15
BPI_Challenge_2014_Geo parcel document.xes.gz	0.6923	0.821	-1.0	-1.0	29059.0	ETM	-1	-1	-1	-1	0.6958975602054736	0.8536585365853658	0.9163879598662208	0.3125811433058855	0.318081	0.314672	0.317286	0.0751	0.0	-1.9051	-8	-1	-1	0.0035	-1.6059	-1	0.06440867941300997	0.028248000000000002	0.027299	0.027558999999999997	-2.2523	-2.6807	-0.09708830386109947	-1	-1	25	8	31	3.2258	11	0.4706	-1	0.3421	0.0897	3.875	0.0177	0.0025	3.5	140472	5657.0	4.0	0.5042	0.1322	2.8819	29059	9274	16
4a_VARA_CIVEL_-_TJGO.xes	0.8239	0.9257	-1.0	-1.0	339.0	ETM	-1	-1	-1	-1	0.7321147633094535	0.6022727272727273	0.7927927927927928	0.2333984375	0.264129	0.235342	0.239429	-0.0592	-0.5529	5.4926	18	-1	-1	0.1637	-0.3136	-1	12.0595703125	0.41072	0.3887	0.39300999999999997	-0.7182	-0.258	0.4242514027202393	-1	-1	30	13	32	4.4375	16	0.3589	-1	0.6032	0.077	3.75	0.0978	0.0363	3.3278	202	7.0	3.875	0.2583	0.2581	2.9119	339	98	16
BPI_Challenge_2014_Department control parcels.xes.gz	0.4675	0.9889	-1.0	-1.0	29297.0	ETM	-1	-1	-1	-1	0.9937391488222626	0.5	0.5909090909090909	0.008470381944935447	0.008891	0.008806	0.008858	0.1075	0.0	0.4166	3	-1	-1	-0.1471	-0.3819	-1	2.107597890181993	0.22908499999999998	0.216144	0.214511	-0.4221	-0.6729999999999999	-0.08425617674411852	-1	-1	6	5	9	2.6667	4	0.7143	-1	0.25	0.05	1.7925	0.0473	0.018000000000000002	2.2516	8982	1565.0	2.585	0.6333	0.3158	1.9579	29297	349	6
